"Nr OKW";"Kod TERYT";"Powiat";"Województwo";"Komisje obwodowe otrzymały kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Andrzej Sebastian DUDA";"Rafał Kazimierz TRZASKOWSKI";"Liczba obwodów"
2;"020100";"bolesławiecki";"dolnośląskie";63867;67800;21631;42238;13;633;356;342;6;0;1;1;335;42570;334;1;42569;322;179;143;"";42247;20966;21281;63
4;"020200";"dzierżoniowski";"dolnośląskie";73104;77836;24749;48353;54;878;441;423;9;1;3;2;408;48759;408;4;48755;413;235;178;"";48342;24383;23959;83
3;"020300";"głogowski";"dolnośląskie";63362;66323;19393;43970;20;719;309;298;12;2;0;0;284;44251;284;9;44242;363;231;132;"";43879;22722;21157;53
1;"020400";"górowski";"dolnośląskie";24371;26736;8679;15692;21;210;170;167;4;0;0;0;163;15853;163;0;15853;138;68;70;"";15715;8957;6758;23
2;"020500";"jaworski";"dolnośląskie";36822;39507;12316;24506;38;411;292;286;10;0;1;2;273;24777;273;0;24777;240;135;105;"";24537;13358;11179;39
2;"020600";"jeleniogórski";"dolnośląskie";48440;54592;12163;36278;42;4957;384;377;2;0;1;0;374;36653;374;2;36651;295;175;120;"";36356;13131;23225;53
2;"020700";"kamiennogórski";"dolnośląskie";32045;33809;11148;20896;30;413;157;149;5;0;0;0;144;21040;144;5;21035;169;93;76;"";20866;9920;10946;32
4;"020800";"kłodzki";"dolnośląskie";117617;129045;37438;80179;102;5950;862;817;18;3;5;0;791;80967;791;12;80955;647;352;295;"";80308;37276;43032;137
3;"020900";"legnicki";"dolnośląskie";38871;41869;11613;27258;25;441;211;197;6;0;3;1;188;27445;188;0;27445;236;128;108;"";27209;15259;11950;45
2;"021000";"lubański";"dolnośląskie";40084;43150;13306;26778;11;1202;214;203;13;0;0;0;190;26967;189;0;26967;245;119;126;"";26722;12096;14626;41
3;"021100";"lubiński";"dolnośląskie";75693;79505;22795;52898;25;851;388;367;10;0;3;0;354;53247;354;2;53245;414;236;178;"";52831;29704;23127;75
2;"021200";"lwówecki";"dolnośląskie";33497;35812;12255;21242;43;651;189;182;1;1;1;1;178;21419;177;2;21417;183;85;98;"";21234;10206;11028;39
1;"021300";"milicki";"dolnośląskie";26345;28856;7997;18348;15;288;155;152;2;0;0;0;150;18498;150;1;18497;125;69;56;"";18372;10153;8219;27
1;"021400";"oleśnicki";"dolnośląskie";75305;81819;22463;52853;25;866;576;555;11;4;7;0;533;53385;533;2;53383;398;210;188;"";52985;25524;27461;66
