"Kod TERYT";"Województwo";"Komisje obwodowe otrzymały kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Andrzej Sebastian DUDA";"Rafał Kazimierz TRZASKOWSKI";"Liczba obwodów"
"020000";"dolnośląskie";2065241;2240376;578311;1487041;1334;41527;15246;14478;272;24;76;33;14093;1501048;14091;155;1500893;12953;7494;5459;"";1487940;663831;824109;1947
"040000";"kujawsko-pomorskie";1466205;1572933;446875;1019344;1001;21694;8605;8325;184;12;37;6;8088;1027376;8088;34;1027342;8142;4813;3329;"";1019200;476728;542472;1653
"060000";"lubelskie";1553552;1671659;460483;1093077;2237;22592;12004;11616;249;12;53;15;11291;1104299;11288;52;1104247;10164;5720;4444;"";1094083;725453;368630;1906
"080000";"lubuskie";718708;770309;221915;496831;435;11959;3898;3748;123;13;20;9;3586;500364;3587;38;500326;3888;2078;1810;"";496438;199589;296849;720
"100000";"łódzkie";1784393;1909980;465828;1318570;1516;21773;13363;12852;231;19;70;22;12514;1330984;12512;128;1330856;11779;6889;4890;"";1319077;718404;600673;1733
"120000";"małopolskie";2431926;2662442;582555;1849547;1619;52137;26165;25240;405;36;86;42;24684;1873990;24685;235;1873755;17000;9920;7080;"";1856755;1107590;749165;2419
"140000";"mazowieckie";3928884;4666787;870217;3028789;3244;80115;515542;433272;15194;324;514;280;417030;3445283;416802;1037;3444246;28953;16652;12301;"";3415293;1630346;1784947;3635
"160000";"opolskie";704983;766446;250382;454672;458;7107;4915;4734;101;6;25;4;4601;459246;4599;25;459221;3891;2100;1791;"";455330;215648;239682;871
"180000";"podkarpackie";1553543;1680845;448714;1104807;1604;24173;13604;13219;340;16;48;14;12801;1117548;12800;38;1117510;9732;5497;4235;"";1107778;785645;322133;1818
"200000";"podlaskie";853512;919765;267084;586416;999;17156;5612;5401;112;13;16;2;5259;591657;5259;18;591639;5529;3128;2401;"";586110;352489;233621;964
"220000";"pomorskie";1650145;1839064;371911;1278562;832;86167;10630;10137;210;16;43;11;9864;1288240;9865;106;1288134;10855;6399;4456;"";1277279;512916;764363;1397
"240000";"śląskie";3161597;3417778;906938;2254706;1771;38360;34993;33570;702;63;230;48;32534;2287048;32523;154;2286894;20767;12198;8569;"";2266127;1110233;1155894;2753
"260000";"świętokrzyskie";917452;989213;266438;651001;1242;11692;5944;5736;103;3;33;2;5595;656558;5595;16;656542;5427;3105;2322;"";651115;419367;231748;989
"280000";"warmińsko-mazurskie";1006161;1128441;308942;697207;709;40666;4396;4208;101;9;22;2;4077;701243;4076;42;701201;5742;3088;2654;"";695459;325723;369736;1115
"300000";"wielkopolskie";2474870;2681058;638673;1836282;1405;34607;21989;21170;498;47;64;18;20548;1856730;20548;111;1856619;15901;9431;6470;"";1840718;829590;1011128;2186
"320000";"zachodniopomorskie";1254610;1351364;363890;890691;804;73026;7205;6925;165;16;27;15;6704;897290;6704;80;897210;7001;3941;3060;"";890209;367096;523113;1123
