;Unnamed: 0;ID;descr;feat_balkon;feat_domofon / wideofon;feat_drzwi / okna antywłamaniowe;feat_internet;feat_pom. użytkowe;feat_telefon;feat_telewizja kablowa;feat_teren zamknięty;ov_Liczba pięter;ov_Liczba pokoi;ov_Piętro;ov_Powierzchnia;ov_Rodzaj zabudowy;ov_Rynek;ov_Czynsz;ov_Dostępne od;ov_Forma własności;ov_Materiał budynku;ov_Ogrzewanie;ov_Okna;ov_Rok budowy;ov_Stan wykończenia;feat_garaż/miejsce parkingowe;feat_ogródek;feat_piwnica;feat_taras;feat_winda;feat_monitoring / ochrona;feat_system alarmowy;feat_klimatyzacja;feat_oddzielna kuchnia;feat_kuchenka;feat_meble;feat_piekarnik;feat_lodówka;feat_zmywarka;feat_pralka;feat_dwupoziomowe;feat_telewizor;feat_rolety antywłamaniowe;feat_
22;22;447Zs;Prezentuję 2- pokojowe mieszkanie mieszczące się w niskim budynku mieszkalnym (5 kondygnacji) na I piętrze. Mieszkanie o łącznej powierzchni 45.04m2 z balkonem 3.23m2 w dobrej cenie! Inwestycja zlokalizowana bezpośrednia w okolicy stacji Szybkiej Kolejki Miejskiej (SKM) - stacja Warszawa GocławekJest to już kolejny etap inwestycji sprawdzonego dewelopera w bliskim sąsiedztwie pełnej infrastruktury miasta. Zaledwie kilka minut samochodem popularne centra handlowe: Atrium Promenada i King Cross Praga oraz markety budowlane: Leroy Marlin i Castorama.Dodatkowo bliskość terenów zielonych - Las Rembertowski i Mazowiecki Park Krajobrazowy zapewniają bezpośredni kontakt z naturą i dają możliwości rekreacji oraz aktywnego wypoczynku.Mieszkanie znajduje się na I piętrze:- przestronny salon z aneksem kuchennym (22.86m2)- sypialnia (12.47m2)- łazienka (4.03m2)- hol (5.10m2)- balkon (3.23m2)W standardzie:- winda,- teren ogrodzony,- dla bezpieczeństwa mieszkańców - Domofon, Drzwi antywłamaniowe, Monitoring, Ochrona,- plac zabaw przede wszystkim z myślą o najmłodszych mieszkańcach.Są jeszcze dostępne również mieszkania o takim samym metrażu na wyższych piętrach.Miejsca parkingowe w garażu podziemnym są dodatkowo płatne - 36 900,00 zł i są obowiązkowe. Można też dokupić komórkę lokatorską (dodatkowo płatne 3 996,00 zł/m2 i nie obowiązkowe).Termin oddania - II kwartał 2021r.Rynek pierwotny.Zakup bez dodatkowych kosztów! (0% podatku PCC oraz 0% prowizji dla biura nieruchomości).Zapraszam do kontaktu pod numerem telefonu: 501000135 (Honorata Madeja licencja pośrednika nr 24709) lub mail: Pomagam również Klientom zdobyć środki na wymarzone mieszkanie we współpracy z najlepszymi i najskuteczniejszymi doradcami hipotecznymi na rynku finansowym oraz zaaranżować nieruchomość zgodnie z oczekiwaniami Klienta we współpracy z największymi biurami architektonicznymi i projektowymi w Warszawie.Zdjęcie przedstawia przykładową wizualizację mieszkania.Treść niniejszego ogłoszenia nie stanowi oferty handlowej w rozumieniu Kodeksu Cywilnego.;1.0;;;;;;;;2.0;2;1;45,04 m²;blok;pierwotny;;;;;miejskie;plastikowe;2021.0;do wykończenia;1.0;;;;1.0;1.0;;;;;;;;;;;;;
86;86;43SUF;2 pokoje, 38,8 m2, Białołęka, ul. Klasyków.Cena zł 380.940,-Bez podatku PCC, bez prowizji.Oddanie do użytkowania - MAJ 2020 r.Osiedle położone jest w sercu zielonej Białołęki, w ramach którego przywracany jest do świetności jeden z najważniejszych zabytków na północy Warszawy - drożdżownia Henryka Bienenthala przy ul. Klasyków 10. Założenie projektowe łączy postindustrialny klimat miejsca, naturę i spokojne otoczenie inwestycji. Dodatkowym atutem inwestycji jest sąsiedztwo zrewitalizowanego Parku Henrykowskiego, do którego jest bezpośrednie przejście z terenu ogrodzonego osiedla.Atrakcyjna lokalizacja, w pobliżu przystanek autobusowy, ok. 10 min pieszo do kolejki podmiejskiej, łatwy i szybki dojazd na trasę przez ul. Modlińską. Osiedle powstaje na działce o powierzchni 3 hektarów, z czego aż 40% tego obszaru to zieleń oraz liczne starodrzewia. Dodatkowym atutem powstającego osiedla jest sąsiedztwo zrewitalizowanego Parku Henrykowskiego, do którego przewidziane jest bezpośrednie przejście z terenu ogrodzonego osiedla.Inwestycja powstaje w pięciu etapach - aktualnie dokańczana jest realizacja Etapu I i kontynuowana jest realizacja Etapu II.Zapraszam do kontaktu.Więcej ofert znajdziesz na naszej stronie Niniejsze ogłoszenie nie stanowi oferty w rozumieniu Kodeksu Cywilnego, lecz ma charakter informacyjny.Przedstawione wizualizacje i grafiki mają charakter wyłącznie poglądowy i stanowią wyłącznie materiał pomocniczy, ułatwiający zorientowanie się w ogólnym wyglądzie oferowanej nieruchomości.Niniejsze ogłoszenie wraz z jego elementami jest własnością  Północ Nieruchomości Sp z o.o.  lub podmiotu współpracującego. Wszelkie prawa zastrzeżone. Kopiowanie, rozpowszechnianie oraz korzystanie z niniejszych materiałów w jakikolwiek inny sposób wykraczający poza dozwolony użytek określony przepisami ustawy z 4 lutego 1994 r. o prawie autorskim i prawach pokrewnych (Dz. U. 1994, nr 24 poz. 83 z późn. zm.) bez pisemnej zgody Północ Nieruchomości Sp z o.o. lub podmiotów współpracujących jest zabronione i może stanowić podstawę odpowiedzialności cywilnej oraz karnej.Niniejsze materiały stanowią tajemnicę przedsiębiorstwa PÓŁNOC NIERUCHOMOŚCI Sp. z o.o.  w rozumieniu ustawy z dnia 16 kwietnia 1993 r. o zwalczaniu nieuczciwej konkurencji (Dz. U. z 2003 r., Nr 153, poz. 1503 z późn. zm.).;1.0;;;;;;;;3.0;2;3;38,80 m²;blok;pierwotny;;;pełna własność;;miejskie;plastikowe;2019.0;;;;;;1.0;;;;;;;;;;;;;;
129;129;3W6Hq;":: Krótko: Mokotów, komfortowy apartament na sprzedaż, 5 pokoi, 324 m2.:: Dla kogo?Dla osób szukających pełni luksusu w nowoczesnym wydaniu. Ten przestronny apartament znajduje się w samym sercu Mokotowa. Jest jedną z pereł prestiżowej inwestycji Ażurowe Okiennice, przeznaczonej dla klientów o najwyższych wymaganiach.:: Atuty?8 mieszkań w budynku, tylko 2 na każdym piętrze; ciesząca się świetnymi opiniami inwestycja Ażurowe Okiennice, wysokie pomieszczenia: 3,2 m, kominek, klimatyzacja.:: Co mówili ostatni mieszkańcy?Jeszcze nic, ponieważ jest to zupełnie nowa nieruchomość.:: Czy to jest to, czego szukasz?W apartamencie oczaruje Państwa strefa dzienna, mająca prawie 150 metrów. W jej skład wchodzi przestronna kuchnia, duży salon z kominkiem i oddzielna jadalnia. Nowoczesny układ pomieszczeń gwarantuje pełnię spokoju w strefie nocnej, nawet gdy w salonie odbywa się przyjęcie na kilkanaście osób. Strefa nocna, prywatna to przede wszystkim wspaniała sypialnia małżeńska mająca aż 34 metry. Posiada ona prywatny pokój kąpielowy i obszerną garderobę. Oprócz ""Master Bedroom"" w strefie prywatnej przewidziano jeszcze trzy sypialnie o wygodnych rozmiarach. Dwie z nich mogą posiadać własne łazienki lub garderoby, wszystko w zależności od potrzeb. Jedna z sypialni może zamienić się w gabinet, salę fitness lub bawialnię. W celu zapewnienia lokatorom pełni prywatności, w korytarzu przewidziano gościnne WC. Do apartamentu przynależy komórka lokatorska. Zaletą apartamentu jest prawie 20 metrowy ogród zimowy, w którym będą mogli Państwo odpocząć po ciężkim dniu.:: Co w okolicy?Pełna infrastruktura miejska dostępna na wyciągnięcie ręki. Inwestycja mieści się niedaleko Centrum Handlowego Galeria Mokotów. Znajduje się w niej kino Cinema City, siłownia sieci Holmes Place oraz oczywiście liczne sklepy i punkty usługowe. Wybór Osiedla Ażurowe Okiennice to gwarancja bliskości placówek edukacyjnych wszystkich poziomów. Doskonałe szkoły zlokalizowane są w odległości kilkunastominutowego spaceru. W okolicy znajdują się uznane restauracje oraz liczne centra sportowe i rozrywkowe.:: Jak z komunikacją?W kilka chwil dojdziesz spacerem lub dojedziesz stąd do, biurowego ""Mordoru"". Inwestycja położona blisko ścisłego centrum miasta. Rozwinięta komunikacja miejska i bliskość pierwszej linii metra sprawiają, że wybór tego apartamentu stanowi idealną opcję dla niezmotoryzowanych.:: Samochody?Możliwość kupienia do 5 miejsc postojowych  (60.000 zł/szt.).:: Rozkład- salonu (78m2)- pokój kominkowy lub kuchnia (26m2), - jadalnia (20m2), -kuchnia (18m2), - sypialnia (34m2) z garderobą (6m2) i łazienką (10m2), - 2 sypialnie (17m2 i 15 m2) z łazienkami/garderobami (po 5 m2), - gabinet (24 m2), - łazienka, - pralnia/suszarnia/pomieszczenia gospodarczegoKontakt:Piotr Wilczyński: tel. +48 604 914 100David Daszuta tel. +48 664 949 878_En Casa Premium Real Estate w niezależnym badaniu firmy badawczej IQS w konkursie Lider Nieruchomości otodom 2019 zostało wybranym Najlepszym Biurem Nieruchomości w woj. Mazowieckim ._WE ARE ENGLISH SPEAKING AGENTS. DO NOT HESITATE TO CONTACT US. Treść niniejszego ogłoszenia nie stanowi oferty handlowej w rozumieniu Kodeksu Cywilnego, ale jest zaproszeniem do współpracy z Państwem.  Zespół En Casa dokłada starań, aby każda z ofert była rzetelnie sprawdzona oraz aktualna.Jako biuro nieruchomości pobieramy za usługę pośrednictwa wynagrodzenie w formie prowizji. Usługa jest wykonywana w profesjonalny sposób i zapewnia Państwu pełne bezpieczeństwo._____________Więcej unikalnych ofert w podobnych kryteriach znajdą Państwo na naszej stronie . Zapraszamy";1.0;;;;1.0;;;;3.0;6;1;324 m²;apartamentowiec;wtórny;1 880 zł;;pełna własność;;miejskie;;2012.0;do wykończenia;;;;;1.0;1.0;;;;;;;;;;;;;
171;171;44kw5;"Do sprzedaży piękny apartament wybudowany w 2014 roku na Dolnym Mokotowie. Trzypokojowe, przestronne mieszkanie położone jest na czwartym piętrze sześciopiętrowego budynku. Apartament został bardzo ładnie wykończone przez firmę Decoroom z użyciem wysokiej jakości materiałów. W cenie mieszkania zostaje całe wyposażenie.Bardzo dobry punkt lokalizacyjny. W pobliżu sklepy przedszkole, żłobek, szkoły, kościół, centrum handlowe. Przystanek autobusowy znajduje się 100 m od budynku a dojazd do centrum zajmuje 15 min.Mieszkanie oraz grunt są pełną własnością. Okna drewniane z drewnianymi żaluzjami. Do mieszkania przynależy miejsce postojowe w garażu podziemnym dodatkowo płatne 35 tysięcy złotych. Budynek monitorowany całodobowo. Mieszkanie jest gotowe do zamieszkania bez potrzeby remontu.Serdecznie zapraszam na prezentacjęLokalizacja: Warszawa/Mokotów, ul. Świętego Bonifacego Cena: 785 000 zł  ( 11 198 zł/m2 )Cena podlega negocjacjiPowierzchnia: 70,1 m2, Piętro: 4 / 6Rok budowy: 2014, Budynek: apartamentowiec, POKOJE: Liczba pokoi: 3, Pokój 1: 20,35 m2, podłoga: parkiet, strona świata: wsch, Pokój 2: 13,07 m2, podłoga: parkiet, szafa wnękowa, strona świata: wsch, Pokój 3: 9,82 m2, podłoga: parkiet, szafa wnękowa, strona świata: wsch, KUCHNIA: Powierzchnia: 9,82 m2, Amfilada: Nie; Rodzaj kuchni: widna i otwarta, Podłoga: gres, Okno kuchni wychodzi na: wsch, Położona glazura: jest; ŁAZIENKA: Liczba łazienek: 1, Powierzchnia: 3,93 m2, Podłoga: gres, Położona glazura: jest; WC: Liczba: 1, Powierzchnia: 2,26 m2, Podłoga: gres, Położona glazura: jest; Czynsz od administracji: 650 zł, stan lokalu: idealny, głośność: ciche, wolne od: Już , ochrona: monitoring, garaż, parking: miejsce w garażu, domofon, winda, TV kablowa, Internet, liczba stron: narożne, materiał: cegła, ciepła woda: miejska, ogrzewanie: miejskie, Więcej informacji oraz możliwość umówienia spotkania: Agent prowadzący: Paweł Wcisłotel.: 530 948 689Nad jakością obsługi oferty czuwa pani Magdalena Łabuć - licencjonowany pośrednik w obrocie nieruchomościami, nr licencji 19420Godziny otwarcia: pon. - pt.: 9:00 - 19:00; sob.: 9:00 - 14:00--- Zapraszamy ---";;;;1.0;;;1.0;;6.0;3;4;70,10 m²;;wtórny;650 zł;;pełna własność;cegła;;drewniane;2014.0;do zamieszkania;1.0;;;;1.0;;;;;;1.0;;;;;;;;
211;211;44mZ6;"ZAKUP BEZPOŚREDNIO OD DEWELOPERA! POSIADAMY RÓWNIEŻ INNE METRAŻE I PIĘTRA - ZADZWOŃ I ZAPYTAJ!WYSOKA JAKOŚĆ BUDOWNICTWA / IDEALNE POD INWESTYCJE - GWARANTOWANY NATYCHMIASTOWY NAJEMPraga Południe - Gocław (okolice Atrium Promenada)Termin oddania: III kwartał 2021rKupujący nie płaci prowizji oraz jest zwolniony z podatku PCC 2%!Prezentowane mieszkanie składa się z salonu z aneksem kuchennym, sypialni, łazienki oraz dużego balkonu. Ekspozycja okien wschód. 2 piętro!Opis osiedla:Nowoczesny budynek, w którym na 18 kondygnacjach znajdzie się 164 mieszkań. Projekt charakterystycznej bryły budynku dzieli go na dwie części – 4 i 17-piętrową. Fantastyczne widoki na wyższych piętrach. Mieszkania z własnymi ogródkami, balkonami, loggiami i przestronnymi tarasami. Mnóstwo udogodnień, w tym cichobieżne windy, ogólnodostępna rowerownia, 2-kondygnacyjny garaż podziemny z miejscami dla samochodów elektrycznych i boksami dla rowerów. Zwiększające prestiż projektu reprezentacyjne lobby budynku.DOSKONAŁA LOKALIZACJA:- w pobliżu aż kilkanaście linii autobusowych, 2 linie nocne- parę minut pieszo do galerii handlowej Atrium Promenada""- osiedle dzieli zaledwie 25 minut od Mordoru, 20 od lotniska i jedynie 20 minut komunikacją miejską od Centrum- przelotowe arterie wyjazdowe w pobliżu – Trasa Siekierkowska i krajowa 2.Cena 362 489 zł. Miejsce garażowe dodatkowo płatne.Skontaktuj się ze mną i umów na prezentację.Pomagamy w uzyskaniu kredytu!Opiekun oferty:Cezary Białecki575 222 812Treść niniejszego ogłoszenia nie stanowi oferty handlowej w rozumieniu Kodeksu Cywilnego.";;;;;1.0;;;;18.0;2;2;37,50 m²;;pierwotny;300 zł;;pełna własność;;miejskie;;2021.0;do wykończenia;1.0;;1.0;;1.0;1.0;;;;;;;;;;;;;
218;218;44qSn;4 pokojowe mieszkanie zlokalizowane na Bielanach przy ul. Klaudyny.Mieszkanie znajduje się na 7 piętrze w 20 piętrowym budynku.Budynek wybudowano w 1983 roku.Mieszkanie o powierzchni 76.6 m2 Powierzchnia dodatkowa:• balkon• piwnicaNIERUCHOMOŚĆ opis nieruchomości Mieszkanie spółdzielcze bez KW.(grunt uregulowany, można założyć KW)Czynsz administracyjny wynosi 860 zł.Możliwość powiększenia mieszkania o dodatkowe ok.15 m.kw poprzez zabudowę części korytarza. Miejsce na parkingu strzeżonym 50m od bloku w cenie.  OKOLICA Blok położony w bardzo ładnej okolicy (woda ,las) Obok sklepy,apteki, przychodnia zdrowia. Dojazd do centrum ok.20min.Zapraszam na prezentację nieruchomościBezpłatnie pomagamy znaleźć najkorzystniejszą na rynku ofertę kredytową.Powyższa oferta ma charakter informacyjny i nie stanowi oferty handlowej w rozumieniu art. 66 §1 Kodeksu Cywilnego.Podana ulica nieruchomości przy ogłoszeniu ma na celu wskazania przybliżonej lokalizacji z dużą dokładnością.;1.0;;;1.0;;;;;20.0;4;7;76,60 m²;blok;wtórny;860 zł;;spółdzielcze własnościowe;;;;1983.0;do zamieszkania;;;1.0;;1.0;;;;;;;;;;;;;;
255;255;43wYW;Apartament na zorganizowanym zamkniętym osiedlu usytuowany obok parku.Bardzo dobra komunikacja do Centrum miasta, szybki dojazd do metra.Osiedle w większości zagospodarowane w zieleń, zadbane, z placami zabaw i strefami relaksu.Spokojna okolica w kameralnej zabudowie.Blisko do sklepów i infrastruktury.Możliwość zakupu miejsca garażowego.Bez prowizji i bez podatku PCC!Zapraszam na prezentację!Katarzyna Person798 993 509;1.0;;;;;;;;2.0;3;parter;64 m²;apartamentowiec;pierwotny;;;pełna własność;;;;2019.0;;1.0;1.0;;1.0;1.0;;;;;;;;;;;;;;
268;268;43RKE;"Przestronne, sięgające podłogi okna idealnie doświetlą pomieszczenia, a przeszklone balkony dodadzą poczucie przestrzeni. Do mieszkań zlokalizowanych na parterze przynależeć będą duże ogródki, dodatkowo pozwalając mieszkańcom być bliżej natury na co dzień, na terenie osiedla zaprojektowano oczko wodne.
Atrakcyjna aranżacja zieleni zapewni mieszkańcom poczucie spokoju i odizolowania od miejskiego szumu.
Zadbane tereny zielone staną się przyjemnymi miejscami spacerów, spotkań i relaksu, a malownicze jeziorko, wkomponowane w architekturę osiedla, wzbogaci estetyczne doznania mieszkańców.
W pobliżu osiedla Lifetown, znajduje się wiele malowniczych skwerów i parków, idealnych na spacery i odpoczynek od miejskiego zgiełku. Potok służewiecki, unikatowy Fort VII Twierdzy Warszawa, czy tor wyścigów konnych zdecydowanie nadają wyjątkowości tej części Warszawy.
Zaledwie kilka minut dzieli mieszkańców od Galerii Mokotów, jednego z największych i najbardziej prestiżowych centrów handlowych w Polsce. W pobliżu osiedla znajduje się wiele sklepów i punktów usługowych. Służewiec to największy i najbardziej rozpoznawalny obszar biurowy na mapie Warszawy. Zakup mieszkania w tym miejscu to nie tylko wygoda i oszczędność czasu przy codziennych dojazdach do pracy, ale również świetna lokata kapitału.";1.0;;;;;;;;;2;4;40,19 m²;;pierwotny;;;;;;;;;;;;;;;;;;;;;;;;;;;
426;426;43kxc;Na sprzedaż trzypokojowe mieszkanie o powierzchni 61,3 m2 przy ul. Szwankowskiego.Mieszkanie składa się z salonu (20m2), oddzielnej widnej kuchni (7m2), dwóch sypialni (10,5 i 9 m2) oraz oddzielnego wc i łazienki.Mieszkanie posiada balkon typu loggia (3,5 m2).Ekspozycja okien na dwie strony świata: Okna salonu wraz z loggią oraz kuchni wychodzą na wschód, zaś mniejszych pokoi na zachód.Do mieszkania przynależy piwnica.Blok wybudowany w 1979 r. (konstrukcja Rama H).Dobrze rozwinięta infrastruktura, sklepy, usługi, przedszkola, szkoły i przychodnie. Bliskość pętli autobusowej i tramwajowej zapewnia dobre połączenia z centrum i innymi dzielnicami.W odległości 400 metrów już w 2022 roku ma zostać oddana do użytku stacja II linii metra Lazurowa.Oferta godna polecenia - zapraszam na prezentację.;1.0;;;;;;1.0;;11.0;3;7;61,30 m²;blok;wtórny;565 zł;;spółdzielcze własnościowe;żelbet;;;1979.0;;;;1.0;;1.0;;;;;;;;;;;;;;
553;553;448CO;"3 POKOJE Z ODDZIELNĄ KUCHNIĄ W CENTRUM TARCHOMINA.DWUSTRONNE I CICHE - DRUGA LINIA ZABUDOWY.PIWNICA 7M2 !Mieszkanie na 2 piętrze w budynku 3-piętrowym - osiedle zielone i ciche - bez dokuczliwej bliskości innych budynków.Budynek z 1993 roku (po termomodernizacji) zbudowany w technologii Rama H.Na powierzchnię 62,80m2 składają się poniższe pomieszczenia :Salon   18.10m2 z wyjściem na balkon o pow.3m2Sypialnia   13,30m2 z dwiema szafami w zabudowieSypialnia   10,70m2Kuchnia widna   7m2Łazienka   3,60m2 - grzejnik łazienkowy po wymianieWC 2m2Przedpokój   8,10m2 z dwiema szafami w zabudowieSalon i mniejsza sypialnia - ekspozycja okien na płd-zach. większa sypialnia i i kuchnia - płn-wsch.W pokojach na podłogach panele, w pozostałych pomieszczeniach gres.Elektryka i hydraulika spełniająca  normy - nie ma konieczności wymiany.Infrastruktura : sklepy, banki, apteki, poczta, przedszkola, żłobki, lokale usługowe i gastronomiczne, ścieżki rowerowe, place zabaw itp. Cisza i spokój - duże odległości między budynkami, zieleń, blok oddzielony od głównych ulic innymi budynkami, bliskość Wisły - rewelacyjne trasy spacerowe.W bezpośrednim sąsiedztwie:- szkoła podstawowa z basenem oraz kompleksem boisk (Białołęcki Ośrodek Sportu)- sklep (DH Tarchomin)- usługi (fryzjer, kosmetyczka, stomatolog, garmażerka itp.)- place zabaw- obszerne parkingi (brak problemu z parkowaniem auta)- bazarek3 min. do przystanku autobusowego/tramwajowego - 10 min. do metra Młociny.Niedaleko - Galeria Północna (2 przystanki tramwajem) oraz galeria Młociny - 6 minut tramwajem.W mieszkaniu zostają wszystkie sprzęty AGD wraz z zabudową (meble w kuchni i łazience), a także meble w przedpokoju, szafy w zabudowie (1 w przedpokoju i 2 w sypialni) , łóżko. W salonie oraz w przedpokoju znajduje się oryginalne oświetlenie w postaci pionowej zabudowy LED (panele świetlne). ZAPRASZAM NA SPOTKANIE I WSPÓLNE OGLĄDANIE NIERUCHOMOŚCI.Lokalizacja: Warszawa/Białołęka, ul. Erazma z ZakroczymiaCena: 486 000 zł  ( 7 739 zł/m2 )Powierzchnia: 62,8 m2, Piętro: 2 / 3Rok budowy: 1993, Budynek: budynek wielorodzinny, POKOJE: Liczba pokoi: 3, Pokój 1: 18,1 m2, podłoga: panele, strona świata: płd-zach, Pokój 2: 13,3 m2, podłoga: panele, strona świata: płn-wsch, Pokój 3: 10,7 m2, podłoga: panele, strona świata: płd-zach, KUCHNIA: Powierzchnia: 7 m2, Amfilada: Nie; Rodzaj kuchni: widna i zamknięta, Podłoga: gres, Okno kuchni wychodzi na: płn-wsch, Położona glazura: jest; ŁAZIENKA: Liczba łazienek: 1, Powierzchnia: 3,6 m2, Opis: wanna +  parawan, Podłoga: gres, Położona glazura: jest; WC: Liczba: 1, Powierzchnia: 2 m2, Opis: umywalka, Podłoga: gres, Położona glazura: jest; Czynsz od administracji: 650 zł, stan lokalu: do odświeżenia, głośność: idealnie ciche, wolne od: od zaraz, parking: ulica, domofon, TV kablowa, Internet, balkon 3 m2, piwnica 7 m2, liczba stron: dwustronne, materiał: rama H, ciepła woda: miejska, ogrzewanie: miejskie, Więcej informacji oraz możliwość umówienia spotkania: Agent prowadzący: Elżbieta Kosicińskatel.: 508561824Grupa PL Nieruchomości - Stołeczne Centrum Nieruchomości WAWAtel.: (022) 404 21 20Dyżur telefoniczny w każdy dzień tygodnia do godziny 21:00 pod numerem 725 56 56 00.Nad jakością obsługi oferty czuwa pani Magdalena Łabuć - licencjonowany pośrednik w obrocie nieruchomościami, nr licencji 19420Godziny otwarcia: pon. - pt.: 9:00 - 19:00; sob.: 9:00 - 14:00--- Zapraszamy ---";1.0;;;1.0;;;1.0;;3.0;3;2;62,80 m²;;wtórny;650 zł;;pełna własność;;;plastikowe;1993.0;do wykończenia;;;1.0;;;;;;;;1.0;;;;;;;;
