;Unnamed: 0;Lp;ID;url;title;rooms;price;price_m2;area;loc
1;1;2;41amC;https://www.otodom.pl/oferta/port-67-ID41amC.html#c89760baae;Port 67;3;;;66.93;Praga-Północ
128;128;131;44roG;https://www.otodom.pl/oferta/kompaktowe-mieszkanie-wiele-mozliwosci-aranzacji-ID44roG.html#1fa0ab5241;Kompaktowe mieszkanie - wiele możliwości aranżacji;2;375000.0;7813.0;48.0;Ursus
199;199;204;3PyWy;https://www.otodom.pl/oferta/apartament-z-5-sypialniami-i-oranzeria-na-powislu-ID3PyWy.html#2a80e35130;Apartament z 5 sypialniami i oranżerią na Powiślu;8;3990000.0;18783.0;212.43;Śródmieście, Powiśle
205;205;210;44pe1;https://www.otodom.pl/oferta/prestizowy-apartament-na-warszawskim-mokotowie-ID44pe1.html#2a80e35130;Prestiżowy apartament na warszawskim Mokotowie;2;1149000.0;17677.0;65.0;Mokotów
214;214;219;44mcg;https://www.otodom.pl/oferta/mieszkanie-w-spokojnej-okolicy-z-ogrodem-230-m2-ID44mcg.html#2a80e35130;Mieszkanie w spokojnej okolicy z ogrodem 230 m2;3;695000.0;6619.0;105.0;Białołęka
387;387;404;43K0x;https://www.otodom.pl/oferta/nowe-budownictwo-ciche-garaz-komorka-8m2-wys-3m-ID43K0x.html#53cbd01a64;Nowe budownictwo, ciche, garaż, komórka 8m2,wys.3m;3;1140000.0;12612.0;90.39;Śródmieście, Powiśle
410;410;427;30WDM;https://www.otodom.pl/oferta/75-m2-ogrodek-127-158-m2-polana-wawer-ID30WDM.html#53cbd01a64;75 m2 + ogródek 127 - 158 m2 POLANA WAWER;4;430000.0;5733.0;75.0;Wawer
460;460;477;44r2x;https://www.otodom.pl/oferta/wola-2-pokoje-2-pietro-sloneczne-nowe-okna-klepka-ID44r2x.html#042dacc228;Wola 2 pokoje 2 piętro słoneczne nowe okna klepka;2;376500.0;10000.0;37.65;Wola
473;473;490;44r1v;https://www.otodom.pl/oferta/mieszkanie-na-saskiej-kepie-z-ogrodkiem-ID44r1v.html#042dacc228;Mieszkanie na Saskiej Kępie z ogródkiem;4;1990000.0;19703.0;101.0;Praga-Południe, Saska Kępa
509;509;535;44qXx;https://www.otodom.pl/oferta/tylko-400m-do-metra-doskonala-lokalizacja-ID44qXx.html#1e93d04762;Tylko 400m do metra! Doskonała lokalizacja!;3;576000.0;9217.0;62.49;Bemowo
544;544;570;44qUK;https://www.otodom.pl/oferta/nowe-wykonczone-umeblowane-30m-od-zaraz-2019r-ID44qUK.html#1e93d04762;Nowe, wykończone, umeblowane 30m, Od Zaraz, 2019r;1;339000.0;11300.0;30.0;Białołęka
576;576;602;43yci;https://www.otodom.pl/oferta/praga-poludnie-ul-bora-komorowskiego-33-ID43yci.html#f26e73d967;Praga Południe Ul. Bora Komorowskiego 33;3;516780.0;8100.0;63.8;Praga-Południe, Gocław
581;581;607;44qSn;https://www.otodom.pl/oferta/4-pokojowe-mieszkanie-bielany-ul-klaudyny-ID44qSn.html#f26e73d967;4 pokojowe mieszkanie Bielany ul. Klaudyny;4;690000.0;9008.0;76.6;Bielany
