rooms,price,area,price_m2,city,district
4,580000,64.0,9063.0,WARSZAWA,MOKOTÓW
2,384999,50.9,7564.0,WROCŁAW,
4,440000,76.9,5722.0,SOSNOWIEC,ŚRÓDMIEŚCIE
2,329000,48.0,6854.0,PIASECZNO,
3,530000,56.0,9464.0,WARSZAWA,BIELANY
2,450000,38.97,11547.0,KRAKÓW,PODGÓRZE
2,442814,51.49,8600.0,POZNAŃ,GRUNWALD/ŁAZARZ
4,692352,96.16,7200.0,POZNAŃ,SOŁACZ/WINOGRADY
2,473180,47.2,10025.0,WROCŁAW,SWOJCZYCE
3,447310,56.0,7988.0,WARSZAWA,BIAŁOŁĘKA
3,398310,56.1,7100.0,WROCŁAW,OPORÓW
2,624000,44.18,14124.0,WARSZAWA,MOKOTÓW
3,429000,48.0,8938.0,WROCŁAW,KRZYKI
2,277327,37.99,7300.0,POZNAŃ,WILDA
3,365000,60.5,6033.0,KOŁOBRZEG,
2,295860,49.31,6000.0,RZESZÓW,BIAŁA
2,315810,39.6,7975.0,WROCŁAW,OPORÓW
3,592432,58.29,10164.0,BYDGOSZCZ,CENTRUM
2,572000,52.0,11000.0,WARSZAWA,
2,441000,40.19,10973.0,WARSZAWA,URSYNÓW
4,290000,73.0,3973.0,ŁÓDŹ,ŚRÓDMIEŚCIE
4,560000,90.68,6176.0,PIASECZNO,JÓZEFOSŁAW
3,480000,50.0,9600.0,WARSZAWA,
3,376836,60.0,6281.0,RZESZÓW,
2,299000,47.0,6362.0,SZCZECIN,
3,820000,81.0,10123.0,WARSZAWA,MOKOTÓW
3,597288,60.7,9840.0,WROCŁAW,ŚRÓDMIEŚCIE
2,499000,39.37,12675.0,WROCŁAW,ŚRÓDMIEŚCIE
3,477641,58.32,8190.0,KRAKÓW,DĘBNIKI
3,430000,53.8,7993.0,WROCŁAW,FABRYCZNA
4,641300,80.1,8006.0,WROCŁAW,
3,396803,57.3,6925.0,WROCŁAW,KRZYKI
2,518873,47.0,11040.0,WARSZAWA,WOLA
4,864900,81.43,10621.0,WARSZAWA,
5,636930,101.1,6300.0,BYDGOSZCZ,SZWEDEROWO
2,363000,39.0,9308.0,WARSZAWA,TARGÓWEK
3,403306,58.62,6880.0,GDAŃSK,ORUNIA GÓRNA
3,710000,103.0,6893.0,WARSZAWA,BEMOWO
3,439000,70.9,6192.0,RZESZÓW,BARANÓWKA
3,741510,82.39,9000.0,KATOWICE,
2,291200,52.47,5550.0,CZĘSTOCHOWA,
3,495000,54.0,9167.0,WARSZAWA,
2,644400,40.3,15990.0,WARSZAWA,
2,349000,37.3,9357.0,WARSZAWA,TARGÓWEK BRÓDNO
2,477000,43.0,11093.0,WARSZAWA,WOLA
3,609405,68.0,8962.0,WARSZAWA,MOKOTÓW
4,834000,83.5,9988.0,WARSZAWA,
2,340000,53.4,6367.0,KATOWICE,OS. TYSIĄCLECIA
2,450000,38.0,11842.0,WARSZAWA,OCHOTA
3,890000,84.0,10595.0,WARSZAWA,
4,801000,78.14,10251.0,WROCŁAW,
2,274980,36.91,7450.0,KRAKÓW,BIEŻANÓW-PROKOCIM
3,449000,75.0,5987.0,SZCZECIN,
4,1050000,107.0,9813.0,WARSZAWA,PRAGA POŁUDNIE
3,1220000,76.5,15948.0,WARSZAWA,MOKOTÓW
2,390595,38.2,10225.0,WROCŁAW,KRZYKI
2,850000,67.0,12687.0,WARSZAWA,WOLA
5,599000,86.22,6947.0,GDAŃSK,
3,740000,64.9,11402.0,WARSZAWA,ŻOLIBORZ SADY ŻOLIBORSKIE
1,275000,29.0,9483.0,KRAKÓW,PRĄDNIK CZERWONY
2,489000,40.0,12225.0,WARSZAWA,WŁOCHY
2,502976,46.0,10934.0,WARSZAWA,WOLA
2,580732,52.73,11013.0,WARSZAWA,MOKOTÓW
3,340818,52.84,6450.0,WIELICZKA,KRZYSZKOWICE
2,343980,36.0,9555.0,POZNAŃ,NOWE MIASTO
1,246300,32.84,7500.0,WROCŁAW,FABRYCZNA
3,521964,64.44,8100.0,KATOWICE,KOSTUCHNA
4,886912,138.58,6400.0,WROCŁAW,FABRYCZNA
2,381483,38.34,9950.0,WARSZAWA,URSUS SKOROSZE
1,465000,24.73,18803.0,WARSZAWA,ŚRÓDMIEŚCIE
2,450000,49.0,9184.0,WROCŁAW,KSIĘŻĘ WIELKIE
3,645000,55.0,11727.0,WARSZAWA,MOKOTÓW
4,899000,88.0,10216.0,WARSZAWA,ŚRÓDMIEŚCIE
3,439000,64.04,6855.0,SZCZECIN,
3,252000,62.0,4065.0,CZĘSTOCHOWA,
2,407498,44.78,9100.0,WARSZAWA,WAWER
1,368011,27.67,13300.0,KRAKÓW,
2,418000,37.0,11297.0,WARSZAWA,WOLA
4,749000,86.38,8671.0,WROCŁAW,KOWALE
6,699000,88.69,7881.0,WROCŁAW,ŚRÓDMIEŚCIE
3,225254,42.25,5331.0,POZNAŃ,CZAPURY
3,369000,59.6,6191.0,RUMIA,CENTRUM HANDLOWE
2,763805,55.0,13887.0,WARSZAWA,OCHOTA
1,332900,37.0,8997.0,WROCŁAW,
2,412000,36.5,11288.0,WARSZAWA,BIELANY
1,215562,29.13,7400.0,GDAŃSK,JASIEŃ
2,505000,44.0,11477.0,WARSZAWA,BEMOWO
2,460000,53.0,8679.0,WARSZAWA,WŁOCHY
3,948000,66.0,14364.0,WARSZAWA,
2,630000,70.0,9000.0,GLIWICE,
4,699000,105.0,6657.0,KATOWICE,
1,409635,35.5,11539.0,WROCŁAW,PSIE POLE
2,375000,38.0,9868.0,WARSZAWA,TARGÓWEK
3,429000,75.0,5720.0,SZCZECIN,BUKOWO
3,999999,69.0,14493.0,WARSZAWA,WOLA
4,473070,72.78,6500.0,WROCŁAW,FABRYCZNA
2,376512,39.22,9600.0,KRAKÓW,PODGÓRZE
2,574000,41.0,14000.0,WARSZAWA,WOLA
3,537000,56.85,9446.0,WARSZAWA,URSYNÓW
