id,Cena,Powierzchnia,Liczba pokoi,Rynek,Piętro,Rok budowy,Rodzaj zabudowy,Liczba pięter,Materiał budynku,Ogrzewanie,Stan wykończenia,Forma własności,Okna,Czynsz
ID3R4sU,2600000.0,148.54,4.0,pierwotny,1,2020.0,apartamentowiec,4.0,inne,miejskie,do wykończenia,pełna własność,,
ID4cxSz,1300000.0,68.0,1.0,wtórny,10+,1999.0,,18.0,,,,,,
ID4csGD,698000.0,67.1,3.0,wtórny,10,1979.0,blok,12.0,beton,miejskie,do zamieszkania,pełna własność,plastikowe,680 zł
ID4cXqc,945000.0,63.0,3.0,wtórny,4,2007.0,apartamentowiec,12.0,pustak,miejskie,do zamieszkania,pełna własność,drewniane,920 zł
ID4d5ld,590000.0,57.0,3.0,wtórny,6,1977.0,,15.0,wielka płyta,miejskie,do zamieszkania,,plastikowe,
ID4di65,1600000.0,60.0,2.0,wtórny,3,2009.0,apartamentowiec,3.0,,,do zamieszkania,,,
ID48hym,765000.0,65.0,3.0,wtórny,2,1993.0,blok,4.0,beton,miejskie,do zamieszkania,pełna własność,plastikowe,
ID4b2b7,1899000.0,308.0,5.0,wtórny,1,1996.0,dom wolnostojący,2.0,cegła,gazowe,do zamieszkania,pełna własność,plastikowe,
ID4dizy,640000.0,41.0,2.0,wtórny,4,2014.0,apartamentowiec,8.0,cegła,miejskie,do zamieszkania,pełna własność,drewniane,
ID49IMT,2350000.0,134.93,4.0,wtórny,parter,,,4.0,,,,,,
ID4aaDO,2603273.0,159.71,4.0,pierwotny,1,2020.0,,2.0,,,do wykończenia,,,
ID42RtV,768600.0,51.24,2.0,wtórny,2,,apartamentowiec,,,,,,,
ID4ciMK,2390000.0,129.0,4.0,wtórny,2,1930.0,kamienica,4.0,cegła,miejskie,do zamieszkania,pełna własność,drewniane,1 100 zł
ID4d93D,580000.0,44.02,2.0,wtórny,1,1979.0,blok,10.0,wielka płyta,miejskie,do zamieszkania,,,
ID4d2e9,847000.0,58.0,2.0,wtórny,8,,,10.0,,,,,,
ID4akXB,1199000.0,110.0,4.0,wtórny,3,2000.0,apartamentowiec,8.0,cegła,miejskie,do zamieszkania,pełna własność,plastikowe,1 100 zł
ID48kIu,1400000.0,107.0,3.0,wtórny,3,2000.0,apartamentowiec,9.0,cegła,miejskie,do zamieszkania,pełna własność,drewniane,1 500 zł
ID4bXqw,540000.0,31.42,2.0,wtórny,2,2019.0,blok,4.0,inne,miejskie,do zamieszkania,pełna własność,plastikowe,300 zł
ID4d7jH,500000.0,35.0,2.0,wtórny,1,2020.0,apartamentowiec,4.0,inne,miejskie,do zamieszkania,pełna własność,plastikowe,350 zł
ID4a8oI,759000.0,52.0,2.0,wtórny,2,1936.0,kamienica,4.0,cegła,miejskie,do zamieszkania,pełna własność,plastikowe,650 zł
ID47y6o,539000.0,44.02,2.0,wtórny,3,,,10.0,,,,pełna własność,,
ID4cMXC,810000.0,49.5,2.0,wtórny,6,2020.0,blok,7.0,,,do zamieszkania,pełna własność,,500 zł
ID4bzu9,2779968.0,143.0,5.0,pierwotny,6,2021.0,apartamentowiec,8.0,cegła,miejskie,,pełna własność,drewniane,
ID4b7F5,475000.0,44.0,2.0,wtórny,parter,1974.0,,4.0,,,,spółdzielcze własnościowe,,480 zł
ID4absI,1199000.0,98.3,3.0,wtórny,parter,2002.0,apartamentowiec,3.0,,miejskie,do zamieszkania,pełna własność,drewniane,
ID4cLii,960000.0,54.0,3.0,wtórny,1,1935.0,,3.0,,,,pełna własność,,500 zł
ID4cwGc,530000.0,39.49,2.0,wtórny,parter,1958.0,blok,4.0,wielka płyta,miejskie,do zamieszkania,pełna własność,plastikowe,420 zł
ID4dgZ6,711980.0,47.94,2.0,pierwotny,1,2021.0,apartamentowiec,,inne,,do wykończenia,,,
ID4caBe,6500000.0,337.0,8.0,wtórny,3,,apartamentowiec,3.0,inne,miejskie,do zamieszkania,pełna własność,,8 000 zł
ID4cOyq,625000.0,49.67,2.0,wtórny,parter,1952.0,kamienica,3.0,cegła,miejskie,do remontu,pełna własność,,600 zł
ID4djcP,399000.0,29.5,2.0,wtórny,1,1936.0,,3.0,,,do remontu,pełna własność,plastikowe,
ID4dlPt,950000.0,59.65,3.0,wtórny,3,1953.0,kamienica,3.0,cegła,miejskie,do zamieszkania,pełna własność,plastikowe,750 zł
