id,cena,liczba_pieter,liczba_pokoi,pietro,powierzchnia,rok_budowy
46lCR,979000,5,4,5,83.0,2009
44Utr,1400000,7,3,2,82.94,2011
3Bdli,640659,4,3,2,64.13,2019
46q1p,410000,12,2,4,36.3,1975
468dI,415900,10,2,6,31.06,1974
46jEE,550000,4,3,3,51.0,1976
46oJo,444000,4,2,1,44.8,2003
46jDQ,650000,6,3,0,66.25,2020
46q0l,605000,5,2,2,56.1,2010
46cXR,900000,5,4,4,82.5,2020
437XP,979000,3,4,2,107.0,2000
46oMT,699000,6,3,2,62.74,2016
46pZG,860000,8,3,3,65.0,2018
46pZK,699000,6,3,2,62.7,2016
45QBA,1399000,10,3,8,86.0,2010
469wp,549000,15,3,7,49.0,1975
45JBD,1350000,9,4,6,100.5,2008
45DPR,657000,7,2,1,45.5,2016
46pYL,750000,7,3,2,68.0,1986
460Cb,560000,6,2,1,50.83,2021
46cS0,415200,8,1,5,34.7,2021
46pXZ,506917,7,2,4,38.66,2017
40Z7W,3368600,2,3,2,168.43,2018
45VgT,530000,7,2,1,42.03,2016
46pX8,3000000,8,5,3,152.5,2008
467me,359900,10,1,8,27.2,1974
465PW,454823,10,2,1,36.0,1970
44I0N,449500,7,2,3,41.25,2019
46aNQ,634768,8,3,1,65.09,2021
45nHx,568000,5,2,4,57.0,2010
45MRh,491000,5,2,2,45.2,2020
465QN,650000,5,2,5,47.7,2002
46pUN,726000,5,3,4,60.5,2006
46oiD,550000,4,2,3,47.0,2016
46pU9,825000,10,5,7,66.0,1998
46pU2,647550,12,2,1,44.0,2013
45diq,830000,5,2,2,41.0,2009
45wmC,429000,5,1,3,39.33,2020
43HiD,750000,5,2,3,49.2,2020
4697l,417870,8,2,4,36.62,2021
45tOw,1570000,6,3,2,97.0,2020
4613z,777000,5,2,2,52.2,2011
46iQr,635000,4,2,1,50.0,2002
41mZz,489900,6,2,2,44.78,2020
44YdB,433900,5,2,5,35.05,2021
45EFI,622400,7,2,3,41.5,2020
46pQJ,570000,6,2,4,45.7,2019
3PGGk,1080000,6,4,5,91.0,2013
46pPQ,929000,3,3,3,80.8,2000
45aMb,749000,4,3,4,65.0,2001
44577,850000,4,4,3,100.0,2000
46o7Q,480000,3,2,1,37.0,2016
43W2J,375000,4,2,2,33.91,2019
45Ial,729000,7,3,4,62.29,2014
468XH,499000,6,2,4,35.66,2020
46pO2,487900,6,2,2,44.78,2020
468Up,615000,10,3,2,61.5,1980
46pMv,530000,4,3,2,60.0,2020
46pMi,950000,2,3,1,130.0,2001
46pM9,633000,3,3,3,67.0,1994
46pLQ,580000,11,3,5,55.3,1970
3uH6Y,1650000,13,4,8,155.5,2001
46iPA,499000,5,1,1,40.0,1998
46pJV,1060000,6,3,4,78.0,2005
46pJF,1200000,9,3,4,80.0,2008
46chM,400000,11,2,5,31.0,1979
45nMr,652158,6,3,1,68.1,2020
45our,989203,6,5,6,102.0,2020
463w9,765902,6,4,5,72.8,2020
465WW,507780,5,2,2,48.4,2019
46g2S,849000,1,4,0,88.9,2008
46kuF,665000,7,2,1,56.0,1998
45AGc,587453,5,2,5,47.0,2019
46pI9,3497500,10,9,0,279.8,2000
42W6U,399999,5,1,2,35.11,2020
42UUx,419999,6,2,5,35.26,2020
46pHt,1260000,6,4,4,100.61,2010
46j4h,454000,4,2,2,33.6,2019
46pH5,465000,7,2,2,42.7,2019
45yxv,373000,4,1,4,31.2,2001
45GdE,499000,7,2,4,42.0,2020
460sC,1420000,7,3,1,84.0,2019
468wt,1120000,6,5,6,103.24,2020
46pGg,481000,8,2,4,39.0,2019
46pGe,624000,3,2,1,52.0,2002
45QGU,516000,4,2,2,47.0,2002
44LeS,477500,7,2,7,34.13,2020
42M35,449999,6,2,0,40.34,2020
42Rn8,389999,5,1,3,32.65,2020
46esh,1084000,5,3,5,62.0,2019
46iY8,335000,6,1,1,28.11,2020
44tJi,1295000,8,3,1,94.0,2008
46gsS,1185000,5,4,4,81.51,2010
4492q,695000,6,3,5,59.0,2020
46nnc,1530000,10,5,6,147.35,2009
46pCC,1890000,2,4,1,130.0,2020
45lrq,390000,5,1,0,28.0,2005
460fk,730000,12,3,9,65.7,2010
424gv,699000,3,3,3,63.5,1989
468ho,924250,17,2,8,81.8,2001
45VUp,759000,6,3,4,63.3,2012
40XQk,1999990,9,3,7,128.6,2009
44OCq,898000,3,4,2,83.1,1998
45LmC,436311,8,1,4,37.44,2021
46mkc,677374,8,3,7,65.0,2021
45Gks,342000,9,1,3,23.2,1970
45hSu,8500000,7,7,6,303.52,2010
42BCw,2900000,4,4,2,170.0,2002
45VuZ,500000,6,2,0,39.1,2015
44PWh,2490000,6,4,6,157.67,2020
44R5Z,7077000,1,5,0,337.0,2019
46nKo,1920000,2,4,2,120.0,2018
46pyz,685000,11,2,3,61.3,2000
44JBa,499900,6,3,1,47.1,2020
46ayt,459000,7,2,6,39.0,2015
45UaG,695000,5,2,3,59.54,2002
46pxT,1420000,4,4,2,121.5,1996
46pxB,1150000,8,3,6,85.11,2014
46pxA,570000,10,3,3,51.9,1974
46pvz,466000,10,1,5,27.67,2020
4682E,479000,10,2,9,38.0,1980
46pup,1265000,6,4,4,100.0,2010
46pum,530000,5,3,1,60.0,2020
46psx,499000,7,2,1,40.0,2020
46psM,1600000,8,4,5,97.0,2007
46pst,409000,5,2,0,42.0,2020
467XF,773000,12,2,7,40.72,2019
46n1W,455000,7,2,1,37.0,2020
46axJ,530000,4,3,1,60.0,2020
44WKq,785000,7,2,5,56.8,2014
3VSHm,940000,7,3,1,80.4,2013
46po6,660000,6,2,5,55.0,2011
42o7W,1235000,7,2,7,82.5,2006
46amP,1420000,7,3,1,84.0,2019
46pmW,660000,5,2,5,55.4,2005
46pm3,769089,8,4,5,78.02,2021
46plZ,424738,8,1,1,37.45,2021
45Bul,350000,7,2,0,32.41,2020
46cAU,3999000,2,5,2,205.0,2019
45Plp,785000,10,3,5,69.0,1970
44RA0,1350000,17,4,4,99.3,2008
46g43,359000,9,1,5,25.0,1975
4688y,639000,10,2,3,50.0,2010
45ERF,829000,6,2,3,37.0,2019
46pju,599000,10,4,7,56.0,1977
46pjs,725000,6,2,2,70.0,2005
46pj7,450000,4,2,1,36.2,1970
46pii,337000,10,1,4,23.2,1970
45VaO,979000,10,4,10,111.0,1984
44Lqz,559000,10,3,1,53.15,1975
45Dmv,677374,8,3,7,64.72,2021
46phd,1080000,11,3,3,85.57,2009
467jQ,359000,4,2,2,27.5,1974
44UTO,579000,8,2,8,46.36,2017
46nY2,299000,12,1,5,21.1,2017
45S4o,660000,5,2,4,55.4,2006
46pf5,565000,10,3,7,57.3,1979
46bma,960000,12,3,3,92.5,2005
46pdX,746460,7,3,7,75.4,2001
46pdW,797000,11,3,3,57.0,2020
46pdJ,730000,2,3,1,66.0,1993
46bl1,548000,7,2,1,53.0,2001
44jGI,1040000,7,4,6,80.0,2017
46hM7,1650000,7,3,6,98.0,2015
46cvZ,800000,8,3,1,65.0,2017
46pdq,530000,4,3,1,60.03,2020
46pdo,839000,8,3,5,77.02,2003
46pdf,508000,4,3,1,57.0,2021
46pcF,618000,7,2,2,47.7,1987
46pcG,635000,4,2,1,50.0,2002
46pcm,610000,3,3,3,52.9,1980
46p9V,550000,4,2,3,47.0,2016
46p9Q,1199000,12,3,7,83.0,2014
46fNH,625000,10,3,4,69.0,1982
46p9F,331300,10,1,1,27.5,2020
464pz,610000,6,2,0,52.0,2009
46p8N,529500,4,3,1,60.03,2020
46p8I,969000,6,4,6,101.4,2020
46p8D,585000,10,3,10,48.0,1975
46p8E,741000,4,2,0,54.95,2021
46p8k,396800,6,1,6,27.73,2020
46p8m,522999,4,3,3,59.41,2020
46p8c,531400,10,2,1,49.2,2022
46p8b,604500,9,2,4,39.0,2017
46p7N,585000,10,3,10,48.0,1975
46p7s,650000,3,3,3,61.66,1975
46p7p,1290000,11,4,8,112.0,1995
46e6G,964810,12,2,9,53.9,2019
46p6q,840000,10,3,8,75.0,2012
46bwK,1165000,2,6,1,134.0,1993
46p67,769012,5,3,3,72.98,2020
44EtQ,555000,7,2,5,40.0,2010
46p5k,699000,6,3,2,62.7,2016
45PUs,695000,10,4,8,67.5,1975
46nec,779000,7,3,4,56.25,2019
46ne9,849000,7,3,4,69.0,2019
464iH,779000,4,4,3,78.58,1995
464iV,466000,10,1,5,27.67,2020
46mCv,540000,6,2,5,46.4,2013
46p2p,520000,14,2,1,42.0,2005
46hzD,920000,10,2,9,71.77,2012
45BzH,539000,14,3,7,46.86,2020
46p2v,652100,6,3,1,68.1,2020
44gwS,367545,10,1,9,30.96,2021
4574K,419900,8,2,1,28.05,1970
46p0I,540000,6,2,4,39.0,2001
46b6L,325000,2,1,0,29.57,2020
46oZg,1150000,4,4,1,100.0,2009
44F11,645000,11,2,2,46.25,2019
45Y00,1090000,8,4,1,84.0,2019
44VKX,333777,3,2,2,29.0,2020
3I07i,419000,6,2,1,34.81,2020
468qg,417000,5,2,0,35.06,2020
464Xc,725000,6,3,2,72.85,2020
46oYW,900000,5,3,4,77.6,2019
45k3F,1549000,2,6,0,140.3,2019
451sT,1893760,8,4,5,118.36,2019
4629F,480000,10,1,7,35.0,1974
46oYP,1000000,8,3,3,78.3,2004
46o3m,584000,10,3,10,48.0,1970
46k64,697000,6,2,1,45.0,1979
46cHi,989203,6,6,6,102.0,2020
44V8c,564000,3,2,1,43.0,2019
465gI,374505,8,2,1,32.85,2021
45Ice,1161268,2,5,2,119.45,2018
45jhj,1415610,3,3,0,104.86,2021
45jhv,790695,3,3,0,58.57,2021
45jgS,792880,3,3,1,58.3,2021
45jh6,1040445,3,2,1,77.07,2021
45jhe,862004,3,2,0,62.92,2021
46oVq,469000,10,2,1,42.0,1974
