name,cena_max,cena_min,diff
Microsoft Surface Book 3 Platynowy,14399.0,7999.0,6400.0
DELL Alienware 51mR209,19290.0,14599.0,4691.0
Microsoft Surface Pro 7+ Platynowy,8799.0,5299.0,3500.0
DELL Latitude 5520 [N027L552015EMEA],6290.0,3449.0,2841.0
Microsoft Surface Laptop 4 Platynowy,7999.0,5199.0,2800.0
DELL Latitude 5420 [N015L542014EMEA],5990.0,3549.0,2441.0
Microsoft Surface Laptop 4 Czarny,8099.0,5699.0,2400.0
DELL Latitude 5520 [N009L552015EMEA],5690.0,3449.0,2241.0
DELL Latitude 5520 [N014L552015EMEA],5590.0,3449.0,2141.0
Apple MacBook Pro 13.3'' Srebrny (MWP82ZE/A) 2020,9590.0,7490.0,2100.0
Microsoft Surface Pro 7+ Czarny,8699.0,6699.0,2000.0
MSI Creator 15 A10UGT-490PL,12999.0,10999.0,2000.0
DELL Latitude 5520 [S002L552015PL] - 500GB M.2 PCIe | 32GB,6090.0,4199.0,1891.0
DELL Latitude 5520 [S002L552015PL] - 256GB M.2 PCIe | 32GB,5990.0,4099.0,1891.0
Lenovo Legion 7-16ACH (82N6007BPB),9190.0,7390.0,1800.0
DELL Latitude 5520 [S002L552015PL] - 500GB M.2 PCIe,5390.0,3649.0,1741.0
DELL Latitude 5520 [S002L552015PL],5190.0,3449.0,1741.0
DELL Latitude 5520 [S002L552015PL] - 256GB M.2 PCIe | 16GB,5390.0,3649.0,1741.0
DELL Latitude 5520 [S002L552015PL] - 500GB M.2 PCIe | 16GB,5490.0,3799.0,1691.0
"Apple MacBook Pro 16"" Srebrny (MVVM2ZE/A)",12690.0,11090.0,1600.0
DELL Latitude 3520 [N027L352015EMEA],5090.0,3499.0,1591.0
DELL Latitude 3420 [N027L342014EMEA],4999.0,3449.0,1550.0
Microsoft Surface Laptop 3 Czarny,8499.0,6999.0,1500.0
Microsoft Surface Laptop 3 Platynowy,7999.0,6499.0,1500.0
Lenovo Legion 7-16ACH (82N6007CPB),9490.0,7990.0,1500.0
DELL Latitude 3420 [N026L342014EMEA],4899.0,3449.0,1450.0
Lenovo Ideapad 3-15ADA (81W100SJPB) [oferta Outlet],3054.53,1662.177,1392.3530000000003
ASUS ROG Zephyrus S Duo 15 GX551QS-HB088R [oferta Outlet],16489.03,15146.109,1342.9209999999985
Lenovo Legion 5-15ACH (82JU00A6PB) - 1TB M.2 PCIe | 32GB,7290.0,5990.0,1300.0
Lenovo Legion 5-15ACH (82JU00A4PB) - 512GB M.2 PCIe | 32GB | Windows 10 Home,7490.0,6190.0,1300.0
