Miasto,Dzielnica,Powierzchnia,Pokoje,Cena,Cena_m2
Poznań,Podolany,73.0,,2750.0,37.67
Warszawa,Mokotów,63.0,3.0,3500.0,55.56
Warszawa,Żoliborz,40.0,1.0,1950.0,48.75
Warszawa,Praga-Północ,39.4,2.0,2400.0,60.91
Kraków,Stare Miasto,80.2,3.0,5000.0,62.34
Łódź,Śródmieście,98.0,2.0,3400.0,34.69
Kraków,Krowodrza,54.0,2.0,1600.0,29.63
Kraków,Stare Miasto,30.0,2.0,2150.0,71.67
Szczecin,Centrum,34.7,2.0,1850.0,53.31
Kraków,Podgórze,71.0,1.0,2300.0,32.39
Łódź,Śródmieście,47.0,2.0,1350.0,28.72
Warszawa,Praga-Południe,55.0,3.0,4000.0,72.73
Szczecin,Stare Miasto,50.0,2.0,3000.0,60.0
Kraków,Prądnik Biały,42.0,2.0,1400.0,33.33
Kraków,Stare Miasto,57.0,3.0,2000.0,35.09
Warszawa,Mokotów,70.0,2.0,6000.0,85.71
Warszawa,Ochota,86.5,4.0,5000.0,57.8
Kraków,Krowodrza,40.0,2.0,1700.0,42.5
Warszawa,Mokotów,84.0,3.0,3600.0,42.86
Warszawa,Mokotów,112.0,4.0,6900.0,61.61
Kraków,Czyżyny,43.0,2.0,2000.0,46.51
Gdańsk,Stare Miasto,58.0,3.0,2600.0,44.83
Warszawa,Saska Kępa,51.0,3.0,2400.0,47.06
Warszawa,Praga-Północ,56.0,2.0,3500.0,62.5
Kraków,Stare Miasto,140.0,3.0,15000.0,107.14
Kraków,Os. Tysiąclecia,34.55,2.0,1500.0,43.42
Kraków,Grzegórzki,29.0,1.0,1900.0,65.52
Warszawa,Młynów,76.4,3.0,4000.0,52.36
Warszawa,Praga-Północ,37.0,1.0,2000.0,54.05
Poznań,Grunwald,33.0,1.0,1250.0,37.88
małopolskie,Kraków,40.0,2.0,2100.0,52.5
Warszawa,Wyględów,120.0,4.0,10000.0,83.33
Warszawa,Śródmieście,33.67,2.0,1690.0,50.19
Szczecin,Centrum,48.0,2.0,2000.0,41.67
Warszawa,Służewiec,51.0,2.0,2690.0,52.75
Kraków,Zabłocie,110.0,3.0,13000.0,118.18
Kraków,Prądnik Biały,40.0,2.0,2000.0,50.0
Kraków,Kazimierz,45.0,2.0,1900.0,42.22
Warszawa,Śródmieście,35.0,2.0,2000.0,57.14
Kraków,Krowodrza,50.0,2.0,2000.0,40.0
Kraków,Stare Miasto,55.0,2.0,3500.0,63.64
Gdańsk,Siedlce,41.0,2.0,2300.0,56.1
Warszawa,Bemowo,49.0,2.0,2300.0,46.94
Warszawa,Mokotów,60.0,3.0,3500.0,58.33
Kraków,Stare Miasto,123.06,4.0,8561.0,69.57
Warszawa,Ursynów,31.52,2.0,2200.0,69.8
Kraków,Wola Justowska,55.0,2.0,1800.0,32.73
Warszawa,Stara Praga,26.0,1.0,3600.0,138.46
Wrocław,Ołtaszyn,45.0,2.0,1400.0,31.11
Warszawa,Służew,53.0,2.0,2300.0,43.4
Kraków,Os. Ruczaj,48.0,2.0,1400.0,29.17
Gdańsk,Przymorze,40.0,2.0,2300.0,57.5
Warszawa,Wola,51.0,2.0,4200.0,82.35
małopolskie,Kraków,75.0,3.0,3500.0,46.67
Kraków,Os. Ruczaj,49.0,2.0,2450.0,50.0
Kraków,Krowodrza,59.0,2.0,1750.0,29.66
Gdańsk,Oliwa,73.0,3.0,2800.0,38.36
Warszawa,Ursynów,61.8,3.0,2800.0,45.31
Warszawa,Śródmieście,60.0,2.0,2990.0,49.83
Warszawa,Stary Imielin,49.0,2.0,1900.0,38.78
Warszawa,Wilanów,151.0,5.0,8500.0,56.29
Szczecin,Pogodno,33.7,2.0,1500.0,44.51
Warszawa,Mokotów,50.0,2.0,2700.0,54.0
pomorskie,Gdańsk,65.0,3.0,2300.0,35.38
Kraków,Stare Miasto,36.0,1.0,1600.0,44.44
Warszawa,Śródmieście,105.0,4.0,6000.0,57.14
Kraków,Stare Miasto,55.0,2.0,2300.0,41.82
Gdańsk,Wrzeszcz,40.0,2.0,2100.0,52.5
małopolskie,Kraków,100.0,4.0,3500.0,35.0
Warszawa,Śródmieście Południowe,70.0,2.0,5800.0,82.86
Warszawa,Śródmieście,53.0,2.0,3500.0,66.04
Wrocław,Ołbin,63.0,3.0,2000.0,31.75
Kraków,Kazimierz,96.0,3.0,7500.0,78.13
Warszawa,Nowolipki,54.0,2.0,2600.0,48.15
Warszawa,Powiśle,136.0,4.0,8500.0,62.5
Kraków,Grzegórzki,50.0,2.0,2000.0,40.0
Kraków,Krowodrza,51.0,2.0,2250.0,44.12
Kraków,Dąbie,34.25,2.0,2200.0,64.23
Kraków,Dębniki,52.0,2.0,1900.0,36.54
Kraków,Os. Podwawelskie,29.0,1.0,1500.0,51.72
Szczecin,Pogodno,120.0,4.0,4000.0,33.33
Wrocław,Śródmieście,50.0,3.0,2400.0,48.0
Warszawa,Ochota,55.42,3.0,3400.0,61.35
Gdańsk,Stare Miasto,95.0,4.0,3000.0,31.58
Wrocław,Ołtaszyn,56.0,2.0,1900.0,33.93
Gdańsk,Śródmieście,68.0,3.0,3800.0,55.88
Wrocław,Stare Miasto,46.0,2.0,1960.0,42.61
Warszawa,Ksawerów,43.38,2.0,2700.0,62.24
Kraków,Prądnik Czerwony,41.0,2.0,1700.0,41.46
Poznań,Grunwald,68.0,3.0,2600.0,38.24
Szczecin,Warszewo,40.0,1.0,1350.0,33.75
Warszawa,Wilanów,109.0,3.0,4900.0,44.95
Warszawa,Mokotów,110.0,4.0,5000.0,45.45
Warszawa,Śródmieście,39.2,2.0,2400.0,61.22
Łódź,Śródmieście,62.0,3.0,2700.0,43.55
Kraków,Grzegórzki,61.0,3.0,2900.0,47.54
dolnośląskie,Wrocław,30.0,1.0,2600.0,86.67
Kraków,Stare Miasto,66.0,3.0,3400.0,51.52
Warszawa,Mokotów,120.0,3.0,8000.0,66.67
Warszawa,Powiśle,60.0,2.0,2700.0,45.0
