Miasto,Dzielnica,Ulica,Cena,Cena_m2,Powierzchnia,Pokoje,Powierzchnia użytkowa,Piętro_nr,Liczba pięter,Balkon,Rynek,Forma własności,Zaktualizowano,Opublikowano,Typ budynku,Rok budowy,Deweloper,Inwestycja,Wysokość wnętrza,Powierzchnia tarasu,Materiał budowlany,Stan nieruchomości,Liczba sypialni,Typ kuchni,Liczba łazienek,Czy łazienka z WC,Powierzchnia balkonu,Powierzchnia łazienki,Cena do negocjacji,Czy przy mieszkaniu jest ogródek
Warszawa,Mokotów,Gotarda,420000.0,12173.91,34.5,2.0,34.5,2.0,4.0,,wtórny,HIPOTECZNE,2 lipca 2020,30 czerwca 2020,BLOK,1970.0,,,280.0,,RAMA H,DO REMONTU,1.0,CIEMNA,,razem,,,,
Warszawa,Żerań,Marywilska 62,417141.0,7308.0,57.08,3.0,57.08,4.0,,,pierwotny,,6 lipca 2020,21 lutego 2020,,2021.0,RONSON DEVELOPMENT SP. Z O.O.,Miasto Moje,,,,,,,,,,,,
Warszawa,Grochów,Osiecka 57/59,522764.0,10900.0,47.96,2.0,47.96,2.0,,,pierwotny,,6 lipca 2020,16 lipca 2019,,2020.0,GRUPA INWEST,Nova Praga - Osiecka,,,,,,,,,,,,
Warszawa,Mokotów,Zakrzewska,380000.0,11645.72,32.63,1.0,32.63,1.0,2.0,,wtórny,,3 lipca 2020,3 lipca 2020,KAMIENICA,1930.0,,,,,CEGŁA,,,,,,,,,
Warszawa,Praga-Północ,Saska,480000.0,11707.32,41.0,2.0,41.0,0.0,,,wtórny,SPÓŁ. WŁASNOŚCIOWE,2020-07-07,3 lipca 2020,,,,,,,MIESZANY,DOBRY,,ODDZIELNA,1.0,,,,,
Warszawa,Wola,,602550.0,20085.0,30.0,1.0,30.0,0.0,,,wtórny,,2 lipca 2020,2 lipca 2020,APARTAMENTOWIEC,2015.0,,,,,"BETON, CEGŁA",DO WPROWADZENIA,,,,,,,,
Warszawa,Wawer,Palmowa,519000.0,5703.3,91.0,4.0,91.0,0.0,,,wtórny,,25 czerwca 2020,25 czerwca 2020,APARTAMENTOWIEC,,,,,,,DEWELOPERSKI,,,,,,,,
Warszawa,Stara Praga,,890000.0,11866.67,75.0,3.0,75.0,2.0,4.0,1.0,wtórny,WŁASNOŚĆ,2 lipca 2020,2 lipca 2020,,1928.0,,,300.0,,CEGŁA,BARDZO DOBRY,,ANEKS,,,,,,
Warszawa,Białołęka,Berensona,452000.0,7558.53,59.8,3.0,59.8,1.0,2.0,1.0,wtórny,WŁASNOŚĆ,2020-07-07,wczoraj,BUDYNEK WIELORODZINNY,2020.0,,,300.0,,,DEVELOPERSKI,,,,,6.0,,,
Warszawa,Wilanów,Bruzdowa,975712.0,8750.0,111.51,5.0,111.51,0.0,2.0,,pierwotny,WŁASNOŚĆ,23 czerwca 2020,23 czerwca 2020,APARTAMENTOWIEC,2020.0,,,260.0,,,DO WYKOŃCZENIA,,,2.0,,,,,
Warszawa,Stegny,,711454.0,9256.49,76.86,4.0,76.86,1.0,6.0,,pierwotny,WŁASNOŚĆ,2 lipca 2020,25 czerwca 2020,APARTAMENTOWIEC,2020.0,,,265.0,,ŻELBETON,DEWELOPERSKI,3.0,ANEKS KUCHENNY,1.0,razem,6.17,4.84,,
Warszawa,Bródno,Turmoncka,395000.0,8404.26,47.0,3.0,47.0,2.0,4.0,1.0,wtórny,WŁASNOŚĆ,2020-07-08,24 czerwca 2020,,1970.0,,,,,WIELKA PŁYTA,,,Z OKNEM,,,,,,
Warszawa,Wola,Chłodna,875000.0,8983.57,97.4,4.0,97.4,11.0,11.0,0.0,wtórny,WŁASNOŚĆ,24 czerwca 2020,24 czerwca 2020,BLOK,1978.0,,,250.0,,RAMA H,BARDZO DOBRY,,WIDNA I OTWARTA,1.0,,,4.65,,
Warszawa,Mokotów,"Dywizjonu AK ""Jeleń""",499000.0,10119.65,49.31,2.0,49.31,2.0,3.0,1.0,wtórny,WŁASNOŚĆ,2020-07-08,29 czerwca 2020,APARTAMENTOWIEC,2020.0,,,,,,DO WYKOŃCZENIA,,ODDZIELNA,1.0,,,,,
Warszawa,Wola,,640000.0,13617.02,47.0,2.0,47.0,4.0,6.0,,wtórny,WŁASNOŚĆ,2020-07-07,wczoraj,,2011.0,,,,,MIESZANY,BARDZO DOBRY,,ANEKS KUCHENNY,1.0,,,,,
Warszawa,Targówek,Janinówka,560000.0,10275.23,54.5,3.0,54.5,6.0,7.0,,wtórny,WŁASNOŚĆ,23 czerwca 2020,23 czerwca 2020,BLOK,1977.0,,,270.0,,,DO WPROWADZENIA,,,,,,,,
Warszawa,Mokotów,Puławska,640000.0,11469.53,55.8,4.0,55.8,2.0,6.0,0.0,wtórny,SPÓŁDZIELCZE WŁASNOŚCIOWE Z KW,2020-07-07,wczoraj,BLOK,1960.0,,,252.0,,RAMA H,BARDZO DOBRY,,W PRZEDPOKOJU,1.0,,,2.8,,
Warszawa,Ursynów,,340000.0,10862.62,31.3,1.0,31.3,5.0,10.0,,wtórny,,26 czerwca 2020,26 czerwca 2020,WIEŻOWIEC,,,,,,RAMA H,DOBRY,,Z OKNEM,,,,,,
Warszawa,Wola,Jana Kazimierza,949000.0,13557.14,70.0,4.0,70.0,5.0,7.0,1.0,wtórny,WŁASNOŚĆ,29 czerwca 2020,27 kwietnia 2020,APARTAMENTOWIEC,2020.0,,,272.0,,CEGŁA,,,ANEKS,,,,,,
Warszawa,Targówek,Matki Teresy z Kalkuty,576000.0,9600.0,60.0,3.0,60.0,1.0,3.0,1.0,pierwotny,,2020-07-08,dzisiaj,,2020.0,,,,,,,2.0,,,,,,,
Warszawa,Wola,Okocimska,530000.0,8668.63,61.14,3.0,61.14,1.0,10.0,,wtórny,SPÓŁDZ. - WŁASN. Z KW,2020-07-07,wczoraj,BLOK,,,,,,,,,,,,,,,
Warszawa,Żoliborz,,320000.0,11851.85,27.0,1.0,27.0,5.0,10.0,,wtórny,,25 czerwca 2020,25 czerwca 2020,BLOK,1970.0,,,,,WIELKA PŁYTA,DO ODNOWIENIA,,,,,,,,
Warszawa,Wawer,Bysławska,412500.0,8505.15,48.5,2.0,48.5,4.0,7.0,,pierwotny,,22 czerwca 2020,24 czerwca 2020,APARTAMENTOWIEC,2020.0,,,,,,DEWELOPERSKI,,,,,,,,
Warszawa,Bemowo,Batalionów Chłopskich,565400.0,9973.54,56.69,3.0,56.69,3.0,4.0,,pierwotny,WŁASNOŚĆ,30 czerwca 2020,30 czerwca 2020,BLOK MIESZKALNY,2022.0,,,,,ŻELBETON,,,,,,,,,
Warszawa,Żerań,Marywilska 62,338586.0,7922.0,42.74,2.0,42.74,3.0,,,pierwotny,,6 lipca 2020,21 lutego 2020,,2021.0,RONSON DEVELOPMENT SP. Z O.O.,Miasto Moje,,,,,,,,,,,,
Warszawa,Gocław,Jeziorańskiego,839000.0,12047.67,69.64,3.0,69.64,0.0,6.0,,wtórny,WŁASNOŚĆ,2020-07-08,4 lipca 2020,APARTAMENTOWIEC,2016.0,,,,27.7,CEGŁA,PODWYŻSZONY STANDARD,2.0,"OTWARTA NA POKÓJ, ODDZIELNA WIDNA, WIDNA",1.0,,,4.5,,
Warszawa,Bielany,Perzyńskiego,325000.0,14130.43,23.0,1.0,23.0,7.0,10.0,,wtórny,ODRĘBNA WŁASNOŚĆ,6 lipca 2020,2 lipca 2020,,,,,250.0,,,BARDZO DOBRY,,ANEKS KUCHENNY,1.0,osobno,,2.8,,
Warszawa,Śródmieście,Pamiętajcie o Ogrodach,647863.0,12885.1,50.28,2.0,50.28,1.0,9.0,,pierwotny,,6 lipca 2020,6 lipca 2020,APARTAMENTOWIEC,2021.0,,,,,,,,,,,,,,
Warszawa,Żerań,Marywilska 62,462733.0,7254.0,63.79,3.0,63.79,5.0,,1.0,pierwotny,,6 lipca 2020,21 lutego 2020,,2021.0,RONSON DEVELOPMENT SP. Z O.O.,Miasto Moje,,,,,,,,,8.08,,,
Warszawa,Stary Żoliborz,Krasińskiego,728000.0,14484.68,50.26,2.0,50.26,2.0,4.0,,wtórny,WŁASNOŚĆ,6 lipca 2020,3 lipca 2020,KAMIENICA,1950.0,,,,0.0,CEGŁA,PODWYŻSZONY STANDARD,1.0,"OTWARTA NA POKÓJ, ODDZIELNA WIDNA",1.0,,,3.0,,
Warszawa,Praga-Północ,Wileńska,479000.0,10527.47,45.5,2.0,45.5,1.0,8.0,,wtórny,,24 czerwca 2020,24 czerwca 2020,APARTAMENTOWIEC,2020.0,,,,,,,1.0,,,,,,,
Warszawa,Bielany,Przy Agorze,417000.0,10973.68,38.0,3.0,38.0,1.0,4.0,,wtórny,WŁASNOŚĆ,2020-07-07,6 lipca 2020,BLOK,1960.0,,,,,WIELKA PŁYTA,,,ODDZIELNA,,,,,,
Warszawa,Ochota,,669999.0,14565.2,46.0,2.0,46.0,0.0,,,wtórny,SPÓŁ. WŁASNOŚCIOWE Z KW,6 lipca 2020,23 czerwca 2020,,1929.0,,,,,CEGŁA,BARDZO DOBRY,,ANEKS KUCHENNY,1.0,,,,,
Warszawa,Sady Żoliborskie,Przasnyska,645000.0,14384.48,44.84,2.0,44.84,4.0,9.0,,wtórny,,3 czerwca 2020,wczoraj,APARTAMENTOWIEC,2013.0,,,,,,DO WPROWADZENIA,1.0,ANEKS KUCHENNY - POŁĄCZONY Z SALONEM,1.0,razem,,4.3,,
Warszawa,Praga-Północ,Szwedzka,630000.0,9618.32,65.5,3.0,65.5,1.0,3.0,1.0,wtórny,WŁASNOŚĆ,6 lipca 2020,1 lipca 2020,KAMIENICA,1942.0,,,320.0,,CEGŁA,,,BEZ OKNA,1.0,,,,,
Warszawa,Bielany,Podleśna,299000.0,11960.0,25.0,1.0,25.0,4.0,11.0,,wtórny,SPÓŁDZIELCZE WŁASNOŚCIOWE,6 lipca 2020,3 lipca 2020,WIEŻOWIEC,1970.0,,,,,,DO REMONTU,,Z OKNEM,,,,,,
Warszawa,Bemowo,,592425.0,10970.83,54.0,2.0,54.0,4.0,4.0,,wtórny,WŁASNOŚĆ,6 lipca 2020,4 lipca 2020,,2010.0,,,,,CEGŁA,BARDZO DOBRY,,"JASNA, ODDZIELNA",1.0,,,,,
Warszawa,Śródmieście,Górnośląska,470000.0,16206.9,29.0,2.0,29.0,2.0,16.0,,wtórny,,29 czerwca 2020,2 lipca 2020,,,,,,,,,,,,,,,,
Warszawa,Ochota,,400000.0,9960.16,40.16,2.0,40.16,0.0,4.0,,pierwotny,,3 lipca 2020,3 lipca 2020,APARTAMENTOWIEC,2021.0,,,,,,DO WYKOŃCZENIA,,,,,,,,
Warszawa,Białołęka,Zdziarska,341285.0,6239.21,54.7,2.0,54.7,2.0,2.0,1.0,pierwotny,,24 czerwca 2020,24 czerwca 2020,,2021.0,,,,,,,,,,,,,,
Warszawa,Wyczółki,Złoty Potok,750000.0,12711.86,59.0,3.0,59.0,1.0,5.0,1.0,wtórny,WŁASNOŚĆ,6 lipca 2020,2 lipca 2020,APARTAMENTOWIEC,2019.0,,,,6.82,CEGŁA,PODWYŻSZONY STANDARD,2.0,OTWARTA NA POKÓJ,1.0,,6.82,4.98,,
Warszawa,Gocław,Motorowa,999900.0,10954.21,91.28,4.0,91.28,3.0,6.0,,wtórny,,2 lipca 2020,2 lipca 2020,APARTAMENTOWIEC,2020.0,,,,,,,3.0,,,,,,,
Warszawa,Białołęka,Majolikowa,410000.0,6833.33,60.0,2.0,60.0,2.0,3.0,1.0,wtórny,WŁASNOŚĆ,2 lipca 2020,25 czerwca 2020,BLOK,2010.0,,,,,,BARDZO DOBRY,,WIDNA,,razem,,,,
Warszawa,Praga-Południe,Paca Michała,730000.0,8907.87,81.95,3.0,,0.0,5.0,,wtórny,,5 lipca 2020,22 czerwca 2020,,,,,,,,,,,,,,,,
Warszawa,Mokotów,Konduktorska,747500.0,11500.0,65.0,3.0,65.0,3.0,4.0,,wtórny,SPÓŁDZIELCZE WŁASNOŚCIOWE Z KW,2020-07-07,30 czerwca 2020,NISKI BLOK,1990.0,,,270.0,,CEGŁA,DO REMONTU,,Z OKNEM,1.0,,,,,
Warszawa,Mokotów,Bartycka,920000.0,11084.34,83.0,4.0,83.0,2.0,3.0,1.0,wtórny,WŁASNOŚĆ,2020-07-08,2 lipca 2020,NISKI BLOK,1995.0,,,,,CEGŁA,,,ANEKS KUCHENNY,,,,,,
Warszawa,Włochy,Przerwana,655840.0,8899.99,73.69,3.0,73.69,1.0,5.0,1.0,pierwotny,WŁASNOŚĆ,2020-07-07,24 czerwca 2020,NISKI BLOK,2019.0,,,,,,,,,,,,,,
Warszawa,Targówek,,499000.0,8316.67,60.0,3.0,60.0,2.0,10.0,,wtórny,SPÓŁ. WŁASNOŚCIOWE Z KW,3 lipca 2020,2 lipca 2020,,,,,,,RAMA H,BARDZO DOBRY,,JASNA,1.0,,,,,
Warszawa,Stara Ochota,,505000.0,11882.35,42.5,2.0,42.5,6.0,10.0,,wtórny,,2020-07-07,1 lipca 2020,,1968.0,,,,,,,,,,,,,,
Warszawa,Bemowo,Batalionów Chłopskich,565000.0,9970.0,56.67,3.0,56.67,3.0,4.0,1.0,wtórny,WŁASNOŚĆ,2020-07-08,29 czerwca 2020,BLOK MIESZKALNY,,,,260.0,,MIESZANA,DEWELOPERSKI,,,,,,,,
Warszawa,Rembertów,Płatnerska,470000.0,7833.33,60.0,3.0,60.0,4.0,4.0,1.0,wtórny,WŁASNOŚĆ,2020-07-07,wczoraj,NISKI BLOK,1990.0,,,260.0,,RAMA H,DOBRY,,Z OKNEM,,,,,,
Warszawa,Białołęka,Wyspiarska,445000.0,7254.65,61.34,3.0,61.34,2.0,5.0,1.0,pierwotny,,2 lipca 2020,2 lipca 2020,BLOK MIESZKALNY,2020.0,,,,,,,,,,,,,,
Warszawa,Wola,Kluczborska,439000.0,9977.27,44.0,2.0,44.0,6.0,,,wtórny,,3 lipca 2020,24 czerwca 2020,,,,,,,,,,,,,,,,
Warszawa,Mokotów,al. Lotników,365000.0,9605.26,38.0,2.0,,2.0,4.0,,wtórny,,6 lipca 2020,6 lipca 2020,,,,,,,,,,,,,,,1.0,
Warszawa,Wilanów,,1000000.0,13888.89,72.0,3.0,72.0,1.0,4.0,,wtórny,,3 lipca 2020,3 lipca 2020,,,,,,,,,2.0,,,,,,,
Warszawa,Ursynów,,566000.0,8346.85,67.81,3.0,67.81,4.0,4.0,,pierwotny,,19 czerwca 2020,3 lipca 2020,APARTAMENTOWIEC,2019.0,,,270.0,,MIESZANA,DEWELOPERSKI,2.0,ODDZIELNA,,razem,5.0,,,
Warszawa,Tarchomin,,349000.0,7755.56,45.0,2.0,45.0,9.0,12.0,,wtórny,SPÓŁDZIELCZE WŁASNOŚCIOWE Z KW,6 lipca 2020,6 lipca 2020,BLOK,1982.0,,,,,WIELKA PŁYTA,,,,,,,,,
Warszawa,Sady Żoliborskie,Rydygiera,900000.0,13125.27,68.57,3.0,68.57,3.0,6.0,,wtórny,WŁASNOŚĆ,30 czerwca 2020,30 czerwca 2020,APARTAMENTOWIEC,2015.0,,,,,CEGŁA,BARDZO DOBRY,,,,,10.4,,,
Warszawa,Wilanów,Nałęczowska,650000.0,9285.71,70.0,5.0,70.0,8.0,10.0,1.0,wtórny,SPÓŁDZIELCZE WŁASNOŚCIOWE,6 lipca 2020,6 lipca 2020,BLOK,1975.0,,,250.0,,WIELKA PŁYTA,PO GENERALNYM REMONCIE,,ANEKS,,,6.0,,,
Warszawa,Żerań,Marywilska,451500.0,6967.59,64.8,3.0,64.8,1.0,5.0,,pierwotny,,1 lipca 2020,1 lipca 2020,,2020.0,,,,,,,,,,,,,,
Warszawa,Tarchomin,Talarowa,307000.0,8771.43,35.0,2.0,35.0,1.0,3.0,1.0,pierwotny,,30 czerwca 2020,27 czerwca 2020,,2022.0,,,,,,,,,,,,,,
Warszawa,Bemowo,Jana Olbrachta,570000.0,9193.55,62.0,4.0,62.0,2.0,3.0,1.0,wtórny,,29 czerwca 2020,29 czerwca 2020,NISKI BLOK,,,,,,CEGŁA,,,Z OKNEM,,,,,,
Warszawa,Mokotów,Pory,699000.0,10584.49,66.04,3.0,66.04,3.0,7.0,1.0,wtórny,WŁASNOŚĆ,2020-07-08,wczoraj,BLOK MIESZKALNY,,,,,,MIESZANA,W BUDOWIE,,,,,,,,
Warszawa,Skorosze,,680000.0,8725.78,77.93,3.0,77.93,6.0,7.0,1.0,wtórny,WŁASNOŚĆ,2020-07-08,1 lipca 2020,APARTAMENTOWIEC,2008.0,,,,,CEGŁA,,,,,,,,,
Warszawa,Mokotów,,520000.0,8666.67,60.0,3.0,60.0,3.0,4.0,1.0,pierwotny,,2020-07-08,25 czerwca 2020,APARTAMENTOWIEC,2020.0,,,,,,,2.0,,,,,,,
Warszawa,Natolin,Kazury,999000.0,9012.18,110.85,4.0,110.85,1.0,4.0,1.0,wtórny,SPÓŁDZIELCZE WŁASNOŚCIOWE Z KW,2020-07-07,2 lipca 2020,NISKI BLOK,1996.0,,,,,CEGŁA,DOBRY,,Z OKNEM,1.0,,,,,
Warszawa,Wola,Jana Pawła II,580000.0,12608.7,46.0,3.0,46.0,8.0,9.0,1.0,wtórny,WŁASNOŚĆ,2020-07-08,30 czerwca 2020,WIEŻOWIEC,1966.0,,,,,,,,,,,,,,
Warszawa,Kamionek,Mińska,355000.0,10616.03,33.44,2.0,33.44,3.0,4.0,1.0,wtórny,,3 lipca 2020,3 lipca 2020,BLOK MIESZKALNY,2021.0,,,,,,,1.0,,,,,,,
Warszawa,Żoliborz,,495000.0,13943.66,35.5,2.0,35.5,1.0,4.0,,wtórny,SPÓŁDZIELCZE WŁ. Z KW,4 lipca 2020,4 lipca 2020,BLOK,1963.0,,,255.0,,,IDEALNY,,JASNA Z OKNEM,,razem,,,,
Warszawa,Wilanów,,665000.0,12547.17,53.0,2.0,53.0,0.0,2.0,,wtórny,WŁASNOŚĆ,2020-07-07,3 lipca 2020,,2000.0,,,,,CEGŁA,,,,,,,,,
Warszawa,Mokotów,Inspektowa,576700.0,11374.75,50.7,3.0,50.7,4.0,6.0,1.0,pierwotny,,2020-07-07,wczoraj,,2020.0,,,,,,,,,,,,,,
Warszawa,Praga-Południe,Marsa,740000.0,8043.48,92.0,4.0,92.0,5.0,5.0,1.0,pierwotny,,2020-07-08,25 czerwca 2020,,2020.0,,,,,,,2.0,,,,,,,
Warszawa,Wola,Jana Kazimierza,949000.0,13557.14,70.0,4.0,70.0,5.0,7.0,1.0,wtórny,,2020-07-08,2 lipca 2020,BUDYNEK APARTAMENTOWY,2020.0,,,271.0,0.0,,IDEALNY,,ANEKS,1.0,,,,,
Warszawa,Bielany,Wólczyńska,899000.0,11085.08,81.1,4.0,81.1,0.0,10.0,,wtórny,WŁASNOŚĆ,2020-07-08,wczoraj,BLOK MIESZKALNY,2012.0,,,270.0,,CEGŁA,NORMALNY,,ANEKS KUCHENNY,,,,,,
Warszawa,Marysin Wawerski,Króla Maciusia,310000.0,10333.33,30.0,1.0,30.0,3.0,,,wtórny,,23 czerwca 2020,24 czerwca 2020,BLOK,,,,,,,,,,,,,,,
Warszawa,Bemowo,Waleriana Czumy,525000.0,10500.0,50.0,3.0,50.0,0.0,12.0,,wtórny,WŁASNOŚĆ,24 czerwca 2020,24 czerwca 2020,WIEŻOWIEC,1980.0,,,,,WIELKA PŁYTA,WYSOKI STANDARD,,OTWARTA,,,,,,
Warszawa,Ursynów,Wańkowicza,750000.0,12931.03,58.0,2.0,58.0,1.0,5.0,1.0,wtórny,WŁASNOŚĆ,2020-07-07,wczoraj,APARTAMENTOWIEC,2004.0,,,,,CEGŁA,,,,1.0,,,,,
Warszawa,Ursus,,334000.0,9823.53,34.0,1.0,34.0,0.0,6.0,1.0,wtórny,WŁASNOŚĆ,2020-07-08,29 czerwca 2020,BLOK,2002.0,,,,,CEGŁA,DOBRY,,"Z OKNEM, W ANEKSIE, Z WYPOSAŻENIEM, W ZABUDOWIE",,osobno,,,,
Warszawa,Grochów,,671999.0,7999.99,84.0,4.0,84.0,3.0,5.0,1.0,wtórny,WŁASNOŚĆ,3 lipca 2020,25 czerwca 2020,,1988.0,,,270.0,,CEGŁA,DO REMONTU DROBNEGO,4.0,OTWARTA,,,,,,
Warszawa,Wawer,,520000.0,8666.67,60.0,3.0,60.0,5.0,5.0,1.0,pierwotny,,6 lipca 2020,25 czerwca 2020,APARTAMENTOWIEC,2020.0,,,,,,,2.0,,,,,,,
Warszawa,Bielany,Podczaszyńskiego,570000.0,11400.0,50.0,3.0,50.0,5.0,5.0,,wtórny,,2020-07-07,wczoraj,KAMIENICA,1953.0,,,,,CEGŁA,,2.0,,,,,,,
Warszawa,Stegny,Św. Bonifacego,440000.0,10476.19,42.0,2.0,42.0,2.0,10.0,1.0,wtórny,SPÓŁDZIELCZE,30 czerwca 2020,29 czerwca 2020,WIEŻOWIEC,1974.0,,,,,WIELKA PŁYTA,DOBRY,1.0,WIDNA,,razem,,,,
Warszawa,Mokotów,Bacha,465000.0,10152.84,45.8,2.0,45.8,10.0,10.0,1.0,wtórny,SPÓŁDZIELCZA WŁASNOŚCIOWA Z KW,2020-07-08,2 lipca 2020,BLOK MIESZKALNY,1970.0,,,250.0,,RAMA H,DO ODNOWIENIA,,KUCHNIA ZAMYKANA Z OKNEM,,,,,,
Warszawa,Nowolipki,Nowolipki,635000.0,11869.16,53.5,3.0,53.5,1.0,6.0,,wtórny,,2020-07-07,wczoraj,KAMIENICA,1952.0,,,,,CEGŁA,,,,,,,,,
