;ID;Kategoria;Lokalizacja;Cena;Cena za m2;Typ budynku;Materiał;Liczba pokoi;Piętro;Liczba pięter w budynku;Rok budowy;Powierzchnia całkowita;Informacje dodatkowe;Numer oferty;Kredyt;descr;Okolica;Forma własności;Powierzchnia piwnicy;Kuchnia;Dostępne od;Czynsz;Mieszkanie;Powierzchnia działki;Powierzchnia mieszkalna;Kształt działki
0;151277107;Mieszkania na sprzedaż;województwo:  mazowieckie powiat:  Warszawa gmina:  Ursynów miejscowość:  Warszawa dzielnica:  Ursynów;600 000 zł;6 666,67 zł/m2;inny;inny;4;1;2;2020;90 m2;miejsce parkingowe, balkon;199306;Sprawdź ratę!;Inwestycja położona jest w Józefosławiu tuż przy granicy z Ursynowem.  Mieszkanie znajduje się w kameralnym dwupiętrowym apartamentowcu położonym przy cichej, zamkniętej uliczce. Dostęp na jej teren jest możliwy poprzez furtkę z wideodomofonem. Do każdego lokalu przewidziano co najmniej jedną komórkę lokatorską oraz dwa miejsca postojowe w garażu podziemnym w cenie 45 000 zł. (stanowiska niezależne -jedno obok drugiego).  Idealne położenie budynku pod kątem komunikacyjnym  - w pobliżu przystanek autobusowy, którym można dojechać do Metra Wilanowska - w niedalekiej odległości Park Miejski z siłownią, placem zabaw - a w najbliższej okolicy sklepy, restauracje, placówki zdrowotne, edukacyjne, różne punkty usługowe jak również Fashion House, Auchan, Leroy Merlin - odległość od centrum Warszawy 15km - odległość od lotniska Okęcie 12 km  Termin oddania do użytku: styczeń 2020 Zachęcam do kontaktu i obejrzenia mieszkania. Olimpia Kazberuk  Numer oferty: 199306Osoba odpowiedzialna zawodowo: Olimpia Kazberuk;;;;;;;;;;
1;151105797;Mieszkania na sprzedaż;województwo:  mazowieckie powiat:  Warszawa gmina:  Bielany miejscowość:  Warszawa ulica:  Josepha Conrada;439 000 zł;8 025,59 zł/m2;inny;wielka płyta;3;Parter;12;1970;54,70 m2;winda, piwnica, loggia;AL932413;Sprawdź ratę!;"Do zakupu ustawne, ciche 3 pokoje na zielonej Chomiczówce !  Mieszkanie zlokalizowane na wysokim parterze 12 piętrowego budynku, usytuowanego w zaciszym, zielonym  ( nieopodal urokliwy Park Chomicza ! ) a jednocześnie perfekcyjnie skomunikowanym punkcie warszawskiej Chomiczówki. W skład mieszkania wchodzą :   Przestronny, widny salon z wyjściem na loggię, Sypialna pełniąca funkcję pokoju dziecięcego,  Sypialnia wyposażona w pojemną, podświetlaną szafę, Jasna kuchnia z dużym oknem, Toaleta, Łazienka z wanna.   Do mieszkania przynależy piwnica wliczona w cenę !    Mieszkanie idealne dla rodziny z dziećmi natomiast, dzięki temu, iż posiada 3 całkowicie niezależne pokoje, świetnie sprawdzi się również pod wynajem.  Mieszkanie w stanie bardzo dobrym - wymaga niewielkiego remontu/odświeżenia - w zależności od preferencji przyszłego Nabywcy.   Stan prawny mieszkania ( spółdzielcze własnościowe prawo do lokalu z KW, grunty uregulowane ) pozwala na zakup za kredyt, a brak jakichkolwiek obciążeń dodatkowo usprawnia proces zakupu.   W najbliższej okolicy, prócz przystanków autobusowego i tramwajowego, rozwinięta infrastruktura - Fitness Club S4; markety: Lidl, Carrefour, Leclerc, Stokrotka; Galeria Bemowo, Cinema City, szkoły, przedszkola, Park Chomicza, lokalne bary i restauracje oraz różnego rodzaju lokale usługowe. Dostępne od zaraz !  Nie przegap okazji - zadzwoń już dziś i umów się na prezentację !   OFERTA DOSTĘPNA TYLKO W NASZYM BIURZE !  Plusy współpracy z nami:   Jesteśmy licencjonowanym biurem nieruchomości, należymy do PFRN i WSPON Dajemy Gwarancję Ochrony Prawnej Posiadamy Doświadczonych Doradców Nasz dział finansowy posiada największy wybór kredytów hipotecznych na rynku, przy zakupie bezpłatnie pomoże Ci w uzyskaniu najtańszego kredytu ZAPYTAJ KONIECZNIE DORADCĘ O PROMOCYJNY PAKIET USŁUG OBNIŻAJĄCY KOSZTY ZAKUPU!  Numer oferty: AL932413Osoba odpowiedzialna zawodowo: Paulina Ratajczyk";park, las, apteka, tramwaj, autobus, przedszkole, żłobek;;;;;;;;;
2;150920467;Mieszkania na sprzedaż;województwo:  mazowieckie powiat:  Warszawa miejscowość:  Warszawa dzielnica:  Żoliborz ulica:  Kaniowska;2 150 000 zł;17 200 zł/m2;inny;cegła;6;Parter;2;1935;125 m2;garaż, ogródek;GPN-MS-10487;Sprawdź ratę!;Mieszkanie na parterze przedwojennej trzylokalowej, bezczynszowej kamienicy. Zlokalizowane w  najładniejszej części Warszawy , na Żoliborzu Oficerskim . Blisko parków Cytadela , Żeromskiego, Kępa  Potocka. Lokal składa się z sześciu pokoi, widnej kuchni, łazienki oraz wc. Z ekspozycją południowo  zachodnią . od strony ogrodu znajdują się trzy pokoje 21m z wyjściem na mały taras, 19 i 17m , od strony  południowo wschodniej pokój jest 15m pokój,j kolejny o ekspozycji północno wschodniej to typowa 6m  służbówka, która z łatwością można połączyć z widną 10m kuchnią. Największy pokój o po w. 23m pełniący  niegdyś funkcję salonu znajduje się w suterynie, prowadzą do niego wygodne drewniana schody . Na  parterze jest jeszcze widna 5,5m łazienka oraz mała osobna toaleta. Działka, na której usytuowany ma  powierzchnię 653m i jest budynek jest współwłasnością właścicieli poszczególnych pięter, właścicielowi  parteru przypada udział w wysokości 2/5 części działki (261,2m) . Właściciel posiada, także jeden z dwóch  stojących na terenie garaży.  Numer licencji pośrednika odpowiedzialnego zawodowo za wykonanie umowy pośrednictwa - 5223  - Treść niniejszego ogłoszenia nie stanowi oferty handlowej w rozumieniu Kodeksu cywilnego Pośrednik odpowiedzialny zawodowo za wykonanie umowy pośrednictwa: Grzegorz Prażuch (licencja nr: 5223)    Oferta wysłana z systemu Galactica Virgo  Numer oferty: GPN-MS-10487Nr licencji zawodowej: 5223;;Hipoteczne;10 m2;oddzielna widna;;;;;;
3;central_garden_apartments_warszawa-zoliborz_544326;Mieszkania na sprzedaż;województwo:  mazowieckie powiat:  warszawski miejscowość:  Warszawa dzielnica:  Żoliborz ulica:  Słomińskiego;;;;;3;1;9;2021;62,63 m2;loggia, plac zabaw, teren zamknięty, winda, łącze internetowe, ochrona, telewizja kablowa, usługi w budynku, teren strzeżony;A095;Sprawdź ratę!;Central Garden Apartments to inwestycja położona w centrum Warszawy, wokół której kręci się całe miasto. Na tyku tętniącego energią Śródmieścia, idyllicznego Żoliborza i historycznej Woli wszystko jest w zasięgu ręki. Żyj wygodnie i na własnych zasadach, w samym sercu możliwości.  Jesteś w najlepszym miejscu, by rozpocząć swoją podróż. Central Garden Apartments to doskonała lokalizacja, z licznymi przystankami autobusowymi i tramwajowymi, stacją metra, dworcem kolejowym i Veturilo pod ręką. W bliskim sąsiedztwie głównych arterii miasta poruszasz się bez przeszkód, dzięki czemu masz więcej czasu na to, co naprawdę ważne. Co więcej, od Centrum Handlowego Arkadia dzieli Cię zaledwie 1 minuta spacerem.  Wokół budynków mieszkalnych znajdziesz całoroczny ogród z licznymi miejscami do relaksu zarówno dla najmłodszych, jak i starszych mieszkańców. Niezależnie od tego, czy odpoczywasz aktywnie, czy wybierasz spokój wśród zieleni, masz przestrzeń, z której możesz korzystać po swojemu.  Numer oferty: A095;park / las, tramwaj, centrum handlowe, sklep spożywczy, dworzec kolejowy, metro, autobus;;;;;;;;;
4;151338624;Mieszkania na sprzedaż;województwo:  mazowieckie powiat:  Warszawa gmina:  Wola miejscowość:  Warszawa dzielnica:  Wola ulica:  Towarowa;1 400 000 zł;11 864,41 zł/m2;inny;inny;4;5;;2011;118 m2;winda;HH-MS-582839;Sprawdź ratę!;Do sprzedania mieszkanie z tarasem i widokiem na Browary Warszawskie i Śródmieście, w apartamentowym budynku na Woli.  Apartament składa się z dużego trójstronnego salonu z wyjściami na taras i loggie, 2 sypialni (16 m2 i 14 m2), gabinetu(8 m2), kuchni, łazienki z wc, pomieszczenia gospodarczego.  Mieszkanie z ekspozycją okien na 3 strony świata, z dużym tarasem i loggią, podzielone na część dzienną i część wypoczynkową z własną łazienką.  Niekonwencjonalny układ pomieszczeń i możliwość nowej aranżacji przestrzeni dziennej i kuchni.  Doskonały zarówno dla rodziny, dla singla czy na biuro lub kancelarię.     Budynek z 2013 roku, z elegancko wykończoną klatką schodową, monitoringiem i ochroną.  Dostępne dwa miejsca postojowe w garażu podziemnym, płatne dodatkowo po 50 tyś zł za miejsce.   Komórka lokatorska w cenie mieszkania.  Czynsz ok.1200zł.  5 min komunikacją miejską do ścisłego centrum. W pobliżu stacja metra, sklepy, restauracje i inne usługi.    Serdecznie zapraszam na prezentację w dogodnym dla Państwa czasie.  Numer oferty: HH-MS-582839Osoba odpowiedzialna zawodowo: Robert Cholewa;;;;;;;;;;
5;147604903;Mieszkania na sprzedaż;województwo:  Mazowieckie powiat:  Warszawa gmina:  Warszawa miejscowość:  Warszawa dzielnica:  Żoliborz ulica:  Okolice pl. Wilsona;450 000 zł;11 842,11 zł/m2;kamienica;cegła;2;1;4;1954;38 m2;piwnica;11170/4005/OMS;Sprawdź ratę!;Podstawowe zalety: ciepłe, jasne (południowo-zachodnia ekspozycja okien), w świetnej lokalizacji, w kamienicy z 1954 roku.   Mieszkanie wysokie (ok 2.75 m), składa się z dużego przestronnego, słonecznego salonu z widokiem na okolicę, cichej, przytulnej sypialni, wyjątkowo poręcznej kuchni, łazienki z wc oraz przedpokoju z wbudowaną szafą wnękową.  W pokojach na podłogach można dostrzec zadbany parkiet, w kuchni wydzielone zostało miejsce do spożywania posiłków. Szafa wnękowa pozwala na efektywne zarządzanie przestrzenią w innych pomieszczeniach. W mieszkaniu została wymieniona instalacje: elektryczna, gazowa i wodno-kanalizacyjna. Do mieszkania przynależy piwnica 4 m2.  Jedna z najlepszych lokalizacji w Warszawie, w pobliżu znajdują się: Plac Wilsona, CH Arkadia, stacje metra (Pl. Wilsona, Marymont), Dworzec Gdański, Teatr Komedia, liczne skwery oraz kawiarnie.    Oferta wysłana z programu dla biur nieruchomości - asariWEB  Numer oferty: 11170/4005/OMSNr licencji zawodowej: 7346;;własność;;;;;;;;
6;151183715;Mieszkania na sprzedaż;województwo:  mazowieckie powiat:  Warszawa miejscowość:  Warszawa dzielnica:  Śródmieście ulica:  Łucka;1 200 000 zł;10 092,51 zł/m2;inny;inny;3;2;7;1998;118,90 m2;winda, garaż, ogrzewanie miejskie;ETW-MS-6;Sprawdź ratę!;Wygodny i doskonale komunikacyjnie usytuowany apartament składający się z salonu połączonego z częścią kuchenną, dwóch sypialni, dwóch łazienek i dużej garderoby. Cichy, a zarazem wkomponowany w centrum biznesowe miasta. Stacja metra ONZ w odległości ok. - 350 m, tramwaj - 100m, autobus - 50m.  Budynek, w którym mieszkanie się znajduje z powodzeniem konkuruje solidnością konstrukcji i wykończeń z aktualnymi inwestycjami tego typu. Lokal po modernizacji. W cenie sprzedaży zawarta jest opłata za schowek o pow. 2,5m2.  Miejsce parkingowe w garażu płatne dodatkowo - 40 tys. zł.  Gorąco polecam!    Treść niniejszego ogłoszenia nie stanowi oferty handlowej w rozumieniu art. 66 Kodeksu Cywilnego. Współpraca po podpisaniu umowy pośrednictwa, na jej podstawie możliwość wglądu w dokumenty i oglądanie nieruchomości.        Oferta wysłana z systemu Galactica Virgo  Numer oferty: ETW-MS-6;;Spółdzielcze własnościowe;2,50 m2;;;;;;;
7;150469541;Mieszkania na sprzedaż;województwo:  Mazowieckie powiat:  Warszawa gmina:  Warszawa miejscowość:  Warszawa dzielnica:  Bielany ulica:  Sokratesa;410 000 zł;11 388,89 zł/m2;blok;ytong;1;3;5;2008;36 m2;winda, ogrzewanie miejskie, balkon;389/6520/OMS;Sprawdź ratę!;Do sprzedaży przestronna kawalerka z dużym balkonem, miejscem postojowym dodatkowo płatnym 30 tyś i komórką lokatorską dodatkowo płatną 10 tyś. Mieszkanie zadbane, widna kuchnia, duża łazienka z wanną. Z salonu wyjście na loggie. Widok z okien na podwórko.Na piętrze tylko trzy mieszkania. Pod blokiem przystanek tramwajowy i autobusowy, niedaleko do metra. W najbliższej okolicy szkoły, przedszkola, sklepy. Idealna propozycja jako pierwsze mieszkanie. Nadaje się również pod wynajem.    Pomimo, iż Doradcy z Firmy Warszawski Pośrednik Nieruchomości Sp. z o.o. starają się uzyskiwać rzetelne informacje na temat oferowanych nieruchomości i przykładają do tego szczególną wagę, nie zawsze jednak są w stanie zweryfikować wszystkie otrzymane od osób trzecich informacje. W związku z powyższym prezentacja oferty nie jest ofertą w rozumieniu Kodeksu Cywilnego i ma charakter wyłącznie informacyjny.  Oferta wysłana z programu dla biur nieruchomości - asariWEB  Numer oferty: 389/6520/OMS;;własność;;z oknem;;;;;;
8;151263514;Mieszkania na sprzedaż;województwo:  Mazowieckie powiat:  Warszawa gmina:  Warszawa miejscowość:  Warszawa dzielnica:  Praga Południe;485 000 zł;7 698,41 zł/m2;inny;wielka płyta;3;3;12;1980;63 m2;winda, ogrzewanie miejskie, balkon;31192/3839/OMS;Sprawdź ratę!;Witam , na sprzedaż mieszkanie PEŁNA WŁASNOŚĆ na Warszawskim Gocławiu, piękna zielona okolica  w doskonałej lokalizacji! 12 minut do Centrum!! Mieszkanie 3pokojowe - rozkładowe  Wielka Płyta ,Grunty uregulowane/pełna własność z KW Księga Wieczysta założona dzięki czemu można posiłkować sie kredytem w zakupie Blok po generalnym remoncie przystosowany dla osób niepełnosprawnych , winda , nowe klatki ,domofony W skład mieszkania o powierzchni 63m2 Do Mieszkania przynależy piwnica o powierzchni 3m2 Wszystkie piony zostały wymienione w mieszkaniu Mieszkanie jest bardzo widne dzięki sporej ilości okien    Przystanek autobusowy w odległości zaledwie 150 metrów ,między innymi kursują z niego autobusy takie jak 148,411,509,N02,N03!  Sklepy znajdują się w zasięgu 100 metrów Okolica bardzo cicha ,przyjemna ,zielona bogata w szkoły ,przedszkola oraz liczne ławki i udogodnienia osiedlowe. Mnóstwo miejsc parkingowych zwolnionych z opłat  ********* Wszystkie ściany działowe ************ Przeogromny potencjał pod inwestycje , możliwość przekształcenia w 5 niezależnych pokoi albo w 3 kawalerki!    Więcej informacji z chęcią udzielę przez Telefon:  Oskar 723pokaż telefon      Oferta wysłana z programu dla biur nieruchomości - asariWEB  Numer oferty: 31192/3839/OMS;;;;z oknem;;;;;;
9;150605557;Mieszkania na sprzedaż;województwo:  mazowieckie powiat:  Warszawa gmina:  Wola miejscowość:  Warszawa dzielnica:  Wola ulica:  Marcina Kasprzaka;471 200 zł;11 009,35 zł/m2;inny;inny;2;1;12;2021;42,80 m2;miejsce parkingowe;PH700910;Sprawdź ratę!;Oferujemy na sprzedaż komfortowe 2 pokojowe mieszkanie zlokalizowane na prestiżowym osiedlu w dzielnicy Wola. Mieszkanie usytuowane jest na 1 piętrze w apartamentowcu z 2021 roku.  Mieszkanie o całkowitej powierzchni użytkowej 42,84 m2, składa się z salonu z aneksem kuchennym,  sypialni, łazienki, holu, balkonu.  Ekspozycja - zachód.   Komórka lokatorska/boks dla jednośladu - pow. od 2,8 do 5,11 m2 .  Miejsce garażowe cena od kondygnacje -1 do - 4   Atutem mieszkania jest doskonała lokalizacja z bezpośrednim sąsiedztwie Śródmieścia, z dobrą komunikacją przystanek tramwajowy i autobusowy, metro.   przystanek: PKP Kasprzaka 01 (ul. Kasprzaka)   stały: 105, 109, 136, 155, 171, 178, 190  przystanek: PKP Kasprzaka 05 »   stały:136, 154, 167, 178, 184, 186, 414, 523 na żądanie: N43   Szeroka infrastruktura: Teatr na Woli, kluby sportowe, centra handlowe, najbliższa szkoła po drugiej stronie ul. Kasprzaka (bezpieczeństwo dzieci i oszczędność czasu dla rodziców).  Okolica z dużą ilością zieleni (parki Moczydło utrzymany w angielskim stylu z siłownią na świeżym powietrzu i stawami, Sowińskiego z amfiteatrem proponującym w lecie atrakcyjny repertuar rozrywkowo-koncertowy , Szymańskiego z fontannami, trasami biegowymi oraz dla rowerzystów i rolkarzy dają możliwość wypoczynku i uprawiania sportu).     * Treść niniejszego ogłoszenia nie stanowi oferty handlowej w rozumieniu art. 66 Kodeksu Cywilnego.  Zadzwoń do nas pod numer 221pokaż telefon i sprawdź najlepsze oferty: - kredytów hipotecznych - kredytów gotówkowych z przeznaczeniem na remont  - pakietów wykończeniowych mieszkań (już od 600 zł/m2) - ubezpieczeń mieszkań oraz OC/AC  Nasi Eksperci czekają na Ciebie.  Numer oferty: PH700910Osoba odpowiedzialna zawodowo: Renata Murawska;;;;;;;;;;
